Name;Tree;Forest;Fishstut;Waterstress;produced_GW;inflow_GW;freshwat_GW;Erosion;GHG;population;HCFC;Lim_HCFC;SW_chem;GW_chem;BII;Coast_bio;PM2.5;Drinking;Heritage;World map
Afghanistan;Afghanistan;Afghanistan;;Afghanistan;Afghanistan;Afghanistan;Afghanistan;Afghanistan;Afghanistan;Afghanistan;Afghanistan;Afghanistan;;;Afghanistan;;Afghanistan;Afghanistan;;Afghanistan
Albania;Albania;Albania;Albania;Albania;Albania;Albania;Albania;Albania;Albania;Albania;Albania;Albania;;;Albanie;Albania;Albania;Albania;Albania;Albania
Algeria;Algeria;Algeria;Algeria;Algeria;Algeria;Algeria;Algeria;Algeria;Algeria;Algeria;Algeria;Algeria;;;Algérie;Algeria;Algeria;Algeria;Algeria;Algeria
American Samoa;American Samoa;American Samoa;American Samoa;;;;;;;American Samoa;;;;;Samoa américaines;American Samoa;;American Samoa;;American Samoa
Andorra;Andorra;Andorra;;;;;;Andorra;;;Andorra;Andorra;Andorra;Andorra;Andorre;;Andorra;Andorra;;Andorra
Angola;Angola;Angola;Angola;Angola;Angola;Angola;;Angola;Angola;Angola;Angola;Angola;;;Angola;Angola;Angola;Angola;;Angola
Anguilla;Anguilla;;Anguilla;;;;;;Anguilla;;;;;;Anguilla;Anguilla;;Anguilla;;Anguilla
Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;;Antigua-et-Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;;Antigua and Barb.
Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentina;Argentine;Argentina;Argentina;Argentina;Argentina;Argentina
Armenia;Armenia;Armenia;;Armenia;Armenia;Armenia;Armenia;Armenia;Armenia;Armenia;Armenia;Armenia;;;Arménie;;Armenia;Armenia;;Armenia
Aruba;Aruba;Aruba;Aruba;;;;;;Aruba;Aruba;;;;;Aruba;Aruba;;Aruba;;Aruba
Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australia;Australie;Australia;Australia;Australia;Australia;Australia
Austria;Austria;Austria;Bahamas;Austria;Austria;Austria;Austria;Austria;Austria;Austria;Austria;Austria;Austria;Austria;Autriche;;Austria;Austria;Austria;Austria
Azerbaijan;Azerbaijan;Azerbaijan;;Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;;;Azerbaïdjan;;Azerbaijan;Azerbaijan;;Azerbaijan
Bahamas;Bahamas;Bahamas, The;;;;Bahamas;;The Bahamas;Bahamas;Bahamas, The;Bahamas;Bahamas;;;Bahamas;Bahamas;Bahamas;Bahamas;;Bahamas
Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;;;Bahreïn;Bahrain;Bahrain;Bahrain;;Bahrain
Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;;;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh
Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;;Barbados;Barbados;Barbados;Barbados;Barbados;;;Barbade;Barbados;Barbados;Barbados;;Barbados
Belarus;Belarus;Belarus;;Belarus;Belarus;Belarus;Belarus;Belarus;Belarus;Belarus;Belarus;Belarus;Belarus;Belarus;Biélorussie;;Belarus;Belarus;Belarus;Belarus
Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;;;Belgique;Belgium;Belgium;Belgium;Belgium;Belgium
Belize;Belize;Belize;Belize;Belize;Belize;Belize;;Belize;Belize;Belize;Belize;Belize;Belize;Belize;Belize;Belize;Belize;Belize;Belize;Belize
Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Bénin;Benin;Benin;Benin;Benin;Benin
Bermuda;Bermuda;Bermuda;Bermuda;;;;;;Bermuda;Bermuda;;;;;Bermudes;Bermuda;;Bermuda;;Bermuda
Bhutan;Bhutan;Bhutan;;Bhutan;Bhutan;Bhutan;Bhutan;Bhutan;Bhutan;Bhutan;Bhutan;Bhutan;;;Bhoutan;;Bhutan;Bhutan;;Bhutan
Bolivia;Bolivia;Bolivia;;Bolivia (Plurinational State of);Bolivia (Plurinational State of);Bolivia;;Bolivia;Bolivia;Bolivia;Bolivia (Plurinational State of);Bolivia;;;Bolivie;;Bolivia (Plurinational State of);Bolivia;Bolivia;Bolivia
