Country & Variable (Combined);Country;M49;Variables;Variable;Units;Symbol;Symbol Description;Units;Symbol;2015;2016;2017;2018;2019;2020
Afghanistan, Fresh groundwater withdrawal;Afghanistan;4;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;3.04;3.04;3.04;3.04;3.04;3.04
Albania, Fresh groundwater withdrawal;Albania;8;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.19;0.11;0.11;0.1;0.22;0.08
Algeria, Fresh groundwater withdrawal;Algeria;12;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;7.22;6.33;8.1;;;
Algeria, Fresh groundwater withdrawal;Algeria;12;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;8.1;8.1;8.1
Antigua and Barbuda, Fresh groundwater withdrawal;Antigua and Barbuda;28;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0;0;0;0;0;0
Argentina, Fresh groundwater withdrawal;Argentina;32;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;11.33;11.33;11.33;11.33;11.33;11.33
Armenia, Fresh groundwater withdrawal;Armenia;51;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;1.3;1.14;1.15;1.19;1.29;1.39
Australia, Fresh groundwater withdrawal;Australia;36;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;2.02;0.58;0.57;0.57;0.6;0.57
Austria, Fresh groundwater withdrawal;Austria;40;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;1.06;1.06;1.06;1.06;1.06;1.06
Azerbaijan, Fresh groundwater withdrawal;Azerbaijan;31;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;2.02;2.08;2.07;2.1;2.37;
Azerbaijan, Fresh groundwater withdrawal;Azerbaijan;31;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;;2.37
