Country;2015;2016;2017;2018;2019;2020
International Aviation;531.6406739;555.5058783;589.9803675;617.744553;625.9880461;342.6460884
International Shipping;698.352971;718.0885581;742.6902601;741.5124491;725.303658;707.0838928
Afghanistan;30.28200221;29.64509429;30.43338439;31.60032229;31.21567929;31.79956811
Albania;8.735258254;8.394714907;9.103459801;9.077965676;8.552089435;8.031666911
Algeria;257.54584;260.2783889;263.5520428;274.9012825;277.321154;268.738407
Angola;86.82291276;83.96166386;78.71030776;74.5554916;74.66081606;67.61818633
Anguilla;0.032855782;0.033262256;0.034020353;0.033154084;0.032524271;0.027633114
Antigua and Barbuda;1.179218672;1.193903969;0.87576726;0.94939688;0.940198189;0.788172752
Argentina;398.1521183;398.8200256;400.5490346;395.739161;391.8412834;382.316602
Armenia;8.710057958;8.513148578;8.691093744;8.852718844;9.301049477;9.392947225
Aruba;1.664286497;1.635927412;1.371080851;1.403637666;1.444087352;1.197563535
Australia;584.8996198;584.5258256;592.5788194;583.8936988;584.9323509;547.8658445
Austria;85.09370867;85.8536321;88.14278016;84.90550826;86.59967722;79.71207828
Azerbaijan;57.71221147;57.84062128;57.4951502;58.84080008;63.71510247;58.57378012
Bahamas;4.069647505;4.18573739;4.332657867;4.936459334;4.88248919;4.095148529
Bahrain;61.07831261;61.29036482;61.17870815;61.50426807;65.43640473;75.19680713
Bangladesh;245.0016321;246.283784;257.8211955;263.8988179;273.6345319;274.1507787
Barbados;2.481963646;2.497364425;2.004110848;2.228751981;2.204404807;1.874633602
Belarus;100.3849909;100.4205782;101.0460735;103.9613661;100.2756305;94.22899734
Belgium;134.2526238;132.9164785;130.9739959;131.5738254;130.3313923;120.1067733
Belize;1.564366902;1.588104895;1.472103888;1.38859396;1.355858814;1.263892797
Benin;14.32331037;16.00411811;16.42118703;17.97245613;18.03209467;18.160863
Bermuda;0.942916828;1.13731208;0.851586241;0.952213458;0.939930205;0.779654733
Bhutan;2.546356739;2.682705404;2.807499736;2.977716061;3.194184623;3.091762852
Bolivia;55.56397795;57.00178816;57.96510996;58.60655904;57.67197318;60.66520246
Bosnia and Herzegovina;27.12400332;30.07888556;30.64959573;31.08236238;29.52846799;29.23607407
Botswana;12.38108523;11.65325294;11.78648684;11.82192795;11.78588274;11.00066561
Brazil;1331.683523;1309.033289;1323.067911;1301.287138;1310.674785;1296.620333
British Virgin Islands;0.425928773;0.437635195;0.203475679;0.266409434;0.212113427;0.177059669
Brunei;12.41413715;12.7471723;13.37262043;13.9370843;13.15802437;10.3480608
Bulgaria;62.75995383;60.34559064;63.09088865;60.34574751;58.14027638;52.84150506
Burkina Faso;28.75038473;29.52965737;30.87555171;32.0052894;32.93328224;33.57219816
Burundi;5.448597689;5.879698283;6.612772192;6.899323919;6.545735099;6.532373553
Cabo Verde;1.024540584;1.048506903;1.113320988;1.111163559;1.125939231;1.111956477
Cambodia;37.2156047;40.01483953;41.85014626;43.72934743;46.18828662;46.33553566
Cameroon;40.1510605;40.997572;39.60469434;40.41030867;41.4580395;40.11535622
Canada;761.2563856;760.7831385;771.0213258;787.7816034;786.0707119;727.2757662
Cayman Islands;1.00630321;0.996461859;0.840079913;0.829161522;0.990522303;0.822153574
Central African Republic;10.14699151;10.54012306;10.72814734;10.98000152;11.22534508;11.43114356
Chad;62.3075705;65.6936974;69.74835311;73.71491038;77.76810504;81.29907469
Chile;118.6817232;124.0970081;126.0555122;127.5450926;133.3440841;123.0329379
China;13384.61933;13365.57373;13633.27767;14128.0459;14425.01832;14733.6567
Colombia;187.3624397;190.7059115;186.9392103;195.0601219;202.9634849;191.9779404
Comoros;0.665976828;0.700415854;0.773997267;0.804115565;0.839748484;0.811248991
Congo;20.17304938;19.96420513;21.61389967;25.29887979;26.53729826;27.85974966
Cook Islands;0.107157615;0.107875555;0.111957308;0.11103486;0.114661804;0.114588253
Costa Rica;14.60264287;15.38354416;15.68881572;16.11282131;16.16133832;15.15953178
Côte d’Ivoire;28.80724484;29.80262278;30.79095333;30.70714265;32.06655326;32.44716187
Croatia;26.50039877;26.8547592;27.27506922;25.96278709;25.81760394;24.79644096
Cuba;50.25564972;48.37038101;47.09098601;47.48814701;46.45593769;41.66951079
Curaçao;5.503281185;4.734978257;3.768888596;3.01124792;2.332927728;1.940122677
Cyprus;8.369381623;8.842283736;9.025085172;8.920656417;8.961170865;8.155182735
Czechia;129.8888312;131.6214415;132.0574754;130.0778782;124.8566606;114.9596332
Democratic Republic of the Congo;48.99606402;49.63475228;52.5694032;52.5805221;54.01906908;54.54283952
Denmark;50.38170384;51.56043575;49.16082418;49.10559579;45.20694571;40.15828385
Djibouti;2.071985143;2.032748946;2.00162835;2.035980544;2.017132184;1.963993129
Dominica;0.493926972;0.50515328;0.275475577;0.297990385;0.291024442;0.254515391
Dominican Republic;39.27805673;40.69480531;40.01543584;42.42062345;44.72499953;42.52433937
Ecuador;71.87420848;70.98078328;69.24278778;70.25356733;70.33952769;65.11369912
Egypt;341.4137183;351.1294254;375.4403091;390.3538818;384.3686211;361.0563025
El Salvador;12.8871778;12.95782197;12.24410613;12.56422922;13.64501485;12.42087799
Equatorial Guinea;18.18148766;17.44977249;15.91334442;16.05236884;14.3571527;15.03497254
Eritrea;6.336379267;6.439407748;6.52950634;6.7093951;6.77989285;6.724893391
Estonia;24.94543248;24.63729452;25.87649021;26.46453427;19.85744891;18.67486067
Eswatini;3.005172711;3.165470365;3.21770785;3.462200907;3.543320727;3.368077616
Ethiopia;144.209722;150.4163177;155.349411;158.7125806;162.6929577;164.0160591
Falkland Islands;0.248860622;0.262601241;0.052824041;0.058705601;0.058115484;0.054173816
Faroes;0.048671671;0.047798873;0.047915976;0.047961452;0.048036021;0.047953871
Fiji;2.49401011;2.444051887;2.597189893;2.679721568;2.822289453;2.880088005
Finland;78.38782273;77.21122619;74.68422704;76.75269747;71.24112858;64.81182869
France and Monaco;466.0621963;468.1009422;470.6711127;456.6195238;448.5402683;398.3699582
French Guiana;0.979668698;1.068618277;1.058992757;1.066843635;1.071965033;1.02788282
