"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Kenya","2017","42.2","2011-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Finland","2017","85.6","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","France","2017","41.1","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Greece","2017","0","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Guinea","2017","80.9","1996-2017","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Hungary","2017","82","2009-2012","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Romania","2017","83.7","2016-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Iceland","2017","100","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Ireland","2017","91.4","2010-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Poland","2017","85.7","2010-2012","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
