Data export;;;;;;;;;;;;;;
Country;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afghanistan;6.1;7.9;22.2;24.9;24.04;17.34;17.7;20.46;20.24;20.02;18.54;18.04;17.77;6.05
Albania;2.5;4.1;5.4;6.5;6.49;6.59;5.67;1.64;2.58;3.74;2.99;3.88;3.41;3.1
Algeria;43;48.8;60.35;63.88;67.32;56.56;51.07;53.66;53.43;24.16;28.52;30.13;46.37;39.33
Andorra;;;1.9;0;0;0;0;0;0;0;0;0;0;0
Angola;0;10.5;19.3;12.7;11.55;6.6;15.43;13.21;13.78;11.55;10.45;10.45;9.35;9.16
Antigua and Barbuda;0.9;0.2;0.5;0.1;0.38;0.11;0.22;0.04;0.06;0.01;0;0.02;0;0.03
Argentina;342.5;356.9;326.1;475.2;511.56;571.39;246.2;276.09;295.42;229.05;248.29;188.06;150.73;126.16
Armenia;4.4;4.8;6.8;7.1;7.5;5.67;4.54;3.15;2.34;0.63;0.94;2.35;2.22;2.21
Australia;114.1;85.7;83.6;53;56.91;31.89;37.22;6.4;8.19;0.58;0.12;1.01;0.74;0.64
Azerbaijan;0.8;0.8;3.5;0.3;7.63;3.52;1.76;1.76;1.24;0.48;0.3;0.18;0;0
Bahamas;5.8;3.9;3.5;6.1;3.05;2.73;2.72;2.71;3.52;3.74;2.75;2.72;2.69;2.62
Bahrain;28.7;38.8;45.1;58.7;57.32;75.59;49.6;49.14;45.98;45.77;44.21;40.65;37.04;32.76
Bangladesh;37.2;64.2;67.7;77.5;88.42;66.47;64.89;59.37;64.18;63.9;63.33;0;0;46.53
Barbados;2.9;2.5;5.1;2.3;2.65;2.66;2.89;1.64;1.48;2.25;1.85;1.37;1.7;0.87
Belarus;0.8;0.4;10.4;10;9.02;8.05;6.95;5.56;4.5;3.45;2.62;1.1;0;0
Belize;1;1.8;2.5;3.1;1.94;2.58;2.43;2.42;2.26;2.15;2.03;1.86;1.68;1.39
Benin;20;21.7;23.6;24;23.75;23.3;22.15;20.03;19.28;17.09;15.96;15.54;15.16;13.49
