SDG;SDG target;SDG indicator;Indicator Code;Indicator name;Geographical area code;Geographical area name;Year;Value;Time detail;Source;Footnote;Type of data;Units;Age group;Bounds;Frequency;Level/Status;Location;Type of reporting;Sex;SDG 6 Data portal level
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);region_sdg;Europe and Northern America;2017;70.6;2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Austria;2017;91.9;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Bosnia and Herzegovina;2017;100;2009-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Botswana;2017;94.4;2011-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Brazil;2017;33.6;2010-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Bulgaria;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Cyprus;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Czechia;2017;0;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Estonia;2017;100;2010-2013;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Fiji;2017;100;2014-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
