Country & Variable (Combined);Country;M49;Variables;Variable;Units;Symbol;Symbol Description;Units;Symbol;2015;2016;2017;2018;2019;2020
Afghanistan, SDG 6.4.2. Water Stress;Afghanistan;4;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;54.76;54.76;54.76;54.76;54.76;54.76
Albania, SDG 6.4.2. Water Stress;Albania;8;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;5.53;6.56;6.56;5.76;6.8;4.72
Algeria, SDG 6.4.2. Water Stress;Algeria;12;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;125.99;129.87;137.92;137.92;137.92;137.92
Angola, SDG 6.4.2. Water Stress;Angola;24;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;1.87;1.87;1.87;1.87;1.87;1.87
Antigua and Barbuda, SDG 6.4.2. Water Stress;Antigua and Barbuda;28;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;;;;;;
Antigua and Barbuda, SDG 6.4.2. Water Stress;Antigua and Barbuda;28;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;I;Imputed (carry forward, vertical imputation, linear interpolation);%;I;8.46;8.46;8.46;8.46;8.46;8.46
Argentina, SDG 6.4.2. Water Stress;Argentina;32;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;10.46;10.46;10.46;10.46;10.46;10.46
Armenia, SDG 6.4.2. Water Stress;Armenia;51;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;66.01;64.19;57.8;54.75;57.8;57.09
Australia, SDG 6.4.2. Water Stress;Australia;36;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;3.71;4.27;4.85;4.96;4.23;3.47
Austria, SDG 6.4.2. Water Stress;Austria;40;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;9.64;9.64;9.64;9.64;9.64;9.64
Azerbaijan, SDG 6.4.2. Water Stress;Azerbaijan;31;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;51.62;52.45;53.52;53.73;55.6;55.6
Bahrain, SDG 6.4.2. Water Stress;Bahrain;48;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;137.16;133.71;;;;
Bahrain, SDG 6.4.2. Water Stress;Bahrain;48;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;I;Imputed (carry forward, vertical imputation, linear interpolation);%;I;;;133.71;133.71;133.71;133.71
Bangladesh, SDG 6.4.2. Water Stress;Bangladesh;50;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;5.72;5.72;5.72;5.72;5.72;5.72
Barbados, SDG 6.4.2. Water Stress;Barbados;52;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;I;Imputed (carry forward, vertical imputation, linear interpolation);%;I;87.5;87.5;87.5;87.5;87.5;87.5
Belarus, SDG 6.4.2. Water Stress;Belarus;112;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;4.77;4.79;4.6;4.58;4.48;4.38
Belgium, SDG 6.4.2. Water Stress;Belgium;56;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;49.07;51.51;53.96;51.29;51.58;51.58
Belize, SDG 6.4.2. Water Stress;Belize;84;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;1.26;1.26;1.26;1.26;1.26;1.26
Benin, SDG 6.4.2. Water Stress;Benin;204;SDG 6.4.2. Water Stress;SDG 6.4.2. Water Stress (%);%;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;%;E;0.98;0.98;0.98;0.98;0.98;0.98
