Country;Sites;2014;2017;2020
Australia;austalia fossil mammal sites (Riversleighe/Naracoorte);1;1;1
Hungary;caves of Aggtelek Karst and Slovak Karst;1;1;1
Slovakia;caves of Aggtelek Karst and Slovak Karst;1;1;1
China;Chengjiang Fossil site;1;1;1
China;China Danxia;1;1;1
Canada;Dinosaur provincial Park;1;1;1
United Kingdom;Dorset and East Devon Coast;1;1;1
France;French Austral land and Seas;;;1
United States of America;Hawaii Volcanoes National Park;1;1;1
Australia;Heard and McDonald Islands;1;1;1
Finland;High Coast/ Kvarken Archipelago;1;1;1
Sweden;High Coast/ Kvarken Archipelago;1;1;1
Argentina;Ishigualasto-Talampaya Natural parks;1;1;1
Republic of Korea;Jeju Volcanic Island and Lava tubes;1;1;1
Canada;Joggins Fossil Cliffs;1;1;1
India;Khangchendzonga National Park;;1;1
Chad;Lakes of Ounianga;2;1;1
Sweden;Laponian Area;1;1;1
Russian Federation;Lena Pillars Nature park;1;1;1
Australia;Lord Howe Island Group;1;1;1
Argentina;Los Alerces National Park;;1;1
Iran;Lut desert;;1;1
Germany;Messel Pit Fossil Site;1;1;1
Canada;Mistaken Point;;1;1
Canada;Miguasha National Park;1;1;1
Italy;Monte San Giorgio;1;1;1
Switzerland;Monte San Giorgio;1;1;1
China;Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area;1;1;1
Italy;mount Etna;1;1;1
Philipines;Mount Hamiguitan Range Wildlife Sanctuary;1;1;1
China;Mount Huangshan;1;1;1
China;Mount Sanqingshan National Park;1;1;1
Namibia;Namib Sand Sea;1;1;1
New Zealand;New Zealand Sub-Antartic Islands;1;1;1
Canada;Pimachiowin Aki;;;1
Australia;Purnululu National Park;1;1;1
Russian Federation;Putorana Plateau;1;1;1
Japan;Shirakami-Sanchi;1;1;1
United Kingdom;St Kilda;1;1;1
Denmark;Stevns Klint;1;1;1
Iceland;Surtsey;1;1;1
Switzerland;Swiss Tectonic Arena Sardonna;1;1;1
Spain;Teide National Park;1;1;1
New Zealand;Tongariro National Park;1;1;1
Australia;Uluru-Kata Tjuta National Park;1;1;1
Iceland;Vatnajökull National Park - Dynamic Nature of Fire and Ice;;;1
Denmark;Wadden sea;1;1;1
Germany;Wadden sea;1;1;1
Netherlands;Wadden sea;1;1;1
Egypt;Wadi Al-Hitan (Whale Valley);1;2;1
Norway;West Norwegian Fjords – Geirangerfjord and Nærøyfjord;1;1;1
Australia;Willandra Lakes Region;1;1;1
Seychelles;Aldabra Atoll;2;2;2
Cuba;Alejandro de Humboldt National Park;2;2;2
Mexico;Archipiélago de Revillagigedo;;2;2
South Africa;Barberton Makhinjwa Mountains;;;2
Jamaica;Blue and John Crow Mountains;;2;2
Uganda;Bwindi Impenetrable National Park;2;2;2
