Country & Variable (Combined);Country;M49;Variables;Variable;Units;Symbol;Symbol Description;Units;Symbol;2015;2016;2017;2018;2019;2020
Afghanistan, Groundwater: accounted inflow;Afghanistan;4;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;10^9 m3/year;E;0;0;0;0;;
Afghanistan, Groundwater: accounted inflow;Afghanistan;4;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0;0
Albania, Groundwater: accounted inflow;Albania;8;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;10^9 m3/year;E;0;0;0;0;;
Albania, Groundwater: accounted inflow;Albania;8;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0;0
Algeria, Groundwater: accounted inflow;Algeria;12;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.03;0.03;0.03;0.03;;
Algeria, Groundwater: accounted inflow;Algeria;12;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0.03;0.03
Angola, Groundwater: accounted inflow;Angola;24;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0;0;0;0;;
Angola, Groundwater: accounted inflow;Angola;24;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0;0
Antigua and Barbuda, Groundwater: accounted inflow;Antigua and Barbuda;28;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0;0;0;0;;
Antigua and Barbuda, Groundwater: accounted inflow;Antigua and Barbuda;28;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0;0
Argentina, Groundwater: accounted inflow;Argentina;32;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0;0;0;0;;
Argentina, Groundwater: accounted inflow;Argentina;32;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0;0
Armenia, Groundwater: accounted inflow;Armenia;51;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;10^9 m3/year;E;0;0;0;0;;
Armenia, Groundwater: accounted inflow;Armenia;51;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0;0
Australia, Groundwater: accounted inflow;Australia;36;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0;0;0;0;;
Australia, Groundwater: accounted inflow;Australia;36;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0;0
Austria, Groundwater: accounted inflow;Austria;40;Groundwater: accounted inflow;Groundwater: accounted inflow (10^9 m3/year);10^9 m3/year;E;Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation;10^9 m3/year;E;0;0;0;0;;
