Country Name;Country Code;Series Name;Series Code;2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2050 [YR2050]
Afghanistan;AFG;Population, total;SP.POP.TOTL;33753499;34636207;35643418;36686784;37769499;38972230;74075234
Albania;ALB;Population, total;SP.POP.TOTL;2880703;2876101;2873457;2866376;2854191;2837849;2400321
Algeria;DZA;Population, total;SP.POP.TOTL;39543154;40339329;41136546;41927007;42705368;43451666;60001113
American Samoa;ASM;Population, total;SP.POP.TOTL;51368;50448;49463;48424;47321;46189;33557
Andorra;AND;Population, total;SP.POP.TOTL;71746;72540;73837;75013;76343;77700;80504
Angola;AGO;Population, total;SP.POP.TOTL;28127721;29154746;30208628;31273533;32353588;33428486;72328068
Antigua and Barbuda;ATG;Population, total;SP.POP.TOTL;89941;90564;91119;91626;92117;92664;99030
Argentina;ARG;Population, total;SP.POP.TOTL;43131966;43590368;44044811;44494502;44938712;45376763;52070088
Armenia;ARM;Population, total;SP.POP.TOTL;2878595;2865835;2851923;2836557;2820602;2805608;2573465
Aruba;ABW;Population, total;SP.POP.TOTL;104257;104874;105439;105962;106442;106585;94185
Australia;AUS;Population, total;SP.POP.TOTL;23815995;24190907;24594202;24966643;25340217;25655289;31742902
Austria;AUT;Population, total;SP.POP.TOTL;8642699;8736668;8797566;8840521;8879920;8916864;8867789
Azerbaijan;AZE;Population, total;SP.POP.TOTL;9649341;9757812;9854033;9939771;10024283;10093121;10665666
Bahamas, The;BHS;Population, total;SP.POP.TOTL;392697;395976;399020;401906;404557;406471;450625
Bahrain;BHR;Population, total;SP.POP.TOTL;1362142;1409661;1456834;1487340;1494188;1477469;1809237
Bangladesh;BGD;Population, total;SP.POP.TOTL;157830000;159784568;161793964;163683958;165516222;167420951;203904900
Barbados;BRB;Population, total;SP.POP.TOTL;278083;278649;279187;279688;280180;280693;267788
Belarus;BLR;Population, total;SP.POP.TOTL;9461076;9469379;9458989;9438785;9419758;9379952;8193775
Belgium;BEL;Population, total;SP.POP.TOTL;11274196;11331422;11375158;11427054;11488980;11538604;11960812
Belize;BLZ;Population, total;SP.POP.TOTL;359871;367313;374693;382066;389095;394921;538838
Benin;BEN;Population, total;SP.POP.TOTL;10932783;11260085;11596779;11940683;12290444;12643123;25264035
Bermuda;BMU;Population, total;SP.POP.TOTL;65237;64554;63873;63918;63911;63893;..
Bhutan;BTN;Population, total;SP.POP.TOTL;743274;749761;756121;762096;767459;772506;874294
Bolivia;BOL;Population, total;SP.POP.TOTL;11090085;11263015;11435533;11606905;11777315;11936162;16609854
Bosnia and Herzegovina;BIH;Population, total;SP.POP.TOTL;3524324;3480986;3440027;3400129;3360711;3318407;2739014
Botswana;BWA;Population, total;SP.POP.TOTL;2305171;2352416;2401840;2451409;2499702;2546402;3679340
Brazil;BRA;Population, total;SP.POP.TOTL;205188205;206859578;208504960;210166592;211782878;213196304;230885725
British Virgin Islands;VGB;Population, total;SP.POP.TOTL;29366;29739;30060;30335;30610;30910;34768
Brunei Darussalam;BRN;Population, total;SP.POP.TOTL;421437;425994;430276;434274;438048;441725;498373
Bulgaria;BGR;Population, total;SP.POP.TOTL;7177991;7127822;7075947;7025037;6975761;6934015;5191538
Burkina Faso;BFA;Population, total;SP.POP.TOTL;18718019;19275498;19835858;20392723;20951639;21522626;40541548
Burundi;BDI;Population, total;SP.POP.TOTL;10727148;10903327;11155593;11493472;11874838;12220227;24208671
Cabo Verde;CPV;Population, total;SP.POP.TOTL;552166;558394;564954;571202;577030;582640;727457
Cambodia;KHM;Population, total;SP.POP.TOTL;15417523;15624584;15830689;16025238;16207746;16396860;20258435
Cameroon;CMR;Population, total;SP.POP.TOTL;23012646;23711630;24393181;25076747;25782341;26491087;51279560
Canada;CAN;Population, total;SP.POP.TOTL;35702908;36109487;36545236;37065084;37601230;38037204;45610604
Cayman Islands;CYM;Population, total;SP.POP.TOTL;60911;62255;63581;64884;66134;67311;77633
Central African Republic;CAF;Population, total;SP.POP.TOTL;4819333;4904177;4996741;5094780;5209324;5343020;11533423
Chad;TCD;Population, total;SP.POP.TOTL;14140274;14592585;15085884;15604210;16126866;16644701;36452035
Channel Islands;CHI;Population, total;SP.POP.TOTL;162190;163721;165215;167259;169410;171113;201937
Chile;CHL;Population, total;SP.POP.TOTL;17870124;18083879;18368577;18701450;19039485;19300315;20675378
China;CHN;Population, total;SP.POP.TOTL;1379860000;1387790000;1396215000;1402760000;1407745000;1411100000;1290472576
Colombia;COL;Population, total;SP.POP.TOTL;47119728;47625955;48351671;49276961;50187406;50930662;56987651
Comoros;COM;Population, total;SP.POP.TOTL;730216;746232;761664;776313;790986;806166;1246207
Congo, Dem. Rep.;COD;Population, total;SP.POP.TOTL;78656904;81430977;84283273;87087355;89906890;92853164;217494003
Congo, Rep.;COG;Population, total;SP.POP.TOTL;5064386;5186824;5312340;5441062;5570733;5702174;10378912
Costa Rica;CRI;Population, total;SP.POP.TOTL;4895242;4945205;4993842;5040734;5084532;5123105;5702525
Cote d'Ivoire;CIV;Population, total;SP.POP.TOTL;23596741;24213622;24848016;25493988;26147551;26811790;51358243
Croatia;HRV;Population, total;SP.POP.TOTL;4203604;4174349;4124531;4087843;4065253;4047680;3194048
Cuba;CUB;Population, total;SP.POP.TOTL;11339894;11342012;11336405;11328244;11316697;11300698;10028085
Curacao;CUW;Population, total;SP.POP.TOTL;157980;159664;160175;159336;157441;154947;166060
Cyprus;CYP;Population, total;SP.POP.TOTL;1187280;1197881;1208523;1218831;1228836;1237537;1391785
Czechia;CZE;Population, total;SP.POP.TOTL;10546059;10566332;10594438;10629928;10671870;10697858;10572789
Denmark;DNK;Population, total;SP.POP.TOTL;5683483;5728010;5764980;5793636;5814422;5831404;6408103
Djibouti;DJI;Population, total;SP.POP.TOTL;1006259;1023261;1040233;1057198;1073994;1090156;1502575
Dominica;DMA;Population, total;SP.POP.TOTL;70007;70075;70403;70823;71428;71995;74167
Dominican Republic;DOM;Population, total;SP.POP.TOTL;10405832;10527592;10647244;10765531;10881882;10999664;13180541
Ecuador;ECU;Population, total;SP.POP.TOTL;16195902;16439585;16696944;17015672;17343740;17588595;22269779
Egypt, Arab Rep.;EGY;Population, total;SP.POP.TOTL;97723799;99784030;101789386;103740765;105618671;107465134;160339889
El Salvador;SLV;Population, total;SP.POP.TOTL;6231066;6250510;6266654;6276342;6280217;6292731;6636854
Equatorial Guinea;GNQ;Population, total;SP.POP.TOTL;1346973;1398927;1450694;1502091;1553031;1596049;2790533
Eritrea;ERI;Population, total;SP.POP.TOTL;3340006;3365287;3396933;3445374;3498818;3555868;5964021
Estonia;EST;Population, total;SP.POP.TOTL;1315407;1315790;1317384;1321977;1326898;1329522;1167812
Eswatini;SWZ;Population, total;SP.POP.TOTL;1133936;1142524;1151390;1160428;1169613;1180655;1655121
Ethiopia;ETH;Population, total;SP.POP.TOTL;102471895;105293228;108197950;111129438;114120594;117190911;214812309
Faroe Islands;FRO;Population, total;SP.POP.TOTL;48816;49500;50230;50955;51681;52415;59444
Fiji;FJI;Population, total;SP.POP.TOTL;917200;918371;919019;918996;918465;920422;1094174
Finland;FIN;Population, total;SP.POP.TOTL;5479531;5495303;5508214;5515525;5521606;5529543;5440763
France;FRA;Population, total;SP.POP.TOTL;66548272;66724104;66918020;67158348;67388001;67571107;68527008
French Polynesia;PYF;Population, total;SP.POP.TOTL;291787;293541;295450;297606;299717;301920;346933
Gabon;GAB;Population, total;SP.POP.TOTL;2028517;2086206;2140215;2192012;2242785;2292573;3757053
Gambia, The;GMB;Population, total;SP.POP.TOTL;2253133;2317206;2381182;2444916;2508883;2573995;4673743
Georgia;GEO;Population, total;SP.POP.TOTL;3725276;3727505;3728004;3726549;3720161;3722716;3325354
Germany;DEU;Population, total;SP.POP.TOTL;81686611;82348669;82657002;82905782;83092962;83160871;77891600
Ghana;GHA;Population, total;SP.POP.TOTL;28870939;29554303;30222262;30870641;31522290;32180401;52231785
Gibraltar;GIB;Population, total;SP.POP.TOTL;32520;32565;32602;32648;32685;32709;31356
Greece;GRC;Population, total;SP.POP.TOTL;10820883;10775971;10754679;10732882;10721582;10698599;9268400
Greenland;GRL;Population, total;SP.POP.TOTL;56114;56186;56171;56023;56225;56367;..
Grenada;GRD;Population, total;SP.POP.TOTL;118980;119966;120921;121838;122724;123663;136253
Guam;GUM;Population, total;SP.POP.TOTL;167978;168346;168606;168678;168624;169231;195673
Guatemala;GTM;Population, total;SP.POP.TOTL;15567419;15827690;16087418;16346950;16604026;16858333;23824276
Guinea;GIN;Population, total;SP.POP.TOTL;11625998;11930985;12240789;12554864;12877539;13205153;23711700
Guinea-Bissau;GNB;Population, total;SP.POP.TOTL;1788919;1834552;1879826;1924955;1970457;2015828;3445289
Guyana;GUY;Population, total;SP.POP.TOTL;755031;759087;763252;785514;798753;797202;878746
Haiti;HTI;Population, total;SP.POP.TOTL;10563757;10713849;10863543;11012421;11160438;11306801;15087520
Honduras;HND;Population, total;SP.POP.TOTL;9294505;9460798;9626842;9792850;9958829;10121763;14258514
Hong Kong SAR, China;HKG;Population, total;SP.POP.TOTL;7291300;7336600;7393200;7452600;7507900;7481000;6782696
Hungary;HUN;Population, total;SP.POP.TOTL;9843028;9814023;9787966;9775564;9771141;9750149;8803454
Iceland;ISL;Population, total;SP.POP.TOTL;330815;335439;343400;352721;360563;366463;408223
India;IND;Population, total;SP.POP.TOTL;1322866505;1338636340;1354195680;1369003306;1383112050;1396387127;1670490596
Indonesia;IDN;Population, total;SP.POP.TOTL;259091970;261850182;264498852;267066843;269582878;271857970;317225213
Iran, Islamic Rep.;IRN;Population, total;SP.POP.TOTL;81790841;83306231;84505076;85617562;86564202;87290193;99007204
Iraq;IRQ;Population, total;SP.POP.TOTL;37757813;38697943;39621162;40590700;41563520;42556984;74515140
Ireland;IRL;Population, total;SP.POP.TOTL;4701957;4755335;4807388;4867316;4934340;4985382;5734107
Isle of Man;IMN;Population, total;SP.POP.TOTL;83593;83450;83580;83775;83933;84046;86680
Israel;ISR;Population, total;SP.POP.TOTL;8380100;8546000;8713300;8882800;9054000;9215100;13567549
Italy;ITA;Population, total;SP.POP.TOTL;60730582;60627498;60536709;60421760;59729081;59438851;51639260
Jamaica;JAM;Population, total;SP.POP.TOTL;2794445;2802695;2808376;2811835;2813773;2820436;2493823
Japan;JPN;Population, total;SP.POP.TOTL;127141000;127076000;126972000;126811000;126633000;126261000;104513664
Jordan;JOR;Population, total;SP.POP.TOTL;9494246;9964656;10215381;10459865;10698683;10928721;15005941
Kazakhstan;KAZ;Population, total;SP.POP.TOTL;17542806;17794055;18037776;18276452;18513673;18755666;25322636
Kenya;KEN;Population, total;SP.POP.TOTL;46851488;47894670;48948137;49953304;50951450;51985780;85211739
Kiribati;KIR;Population, total;SP.POP.TOTL;116707;118513;120362;122261;124241;126463;188570
Korea, Dem. People's Rep.;PRK;Population, total;SP.POP.TOTL;25258015;25389611;25516321;25638149;25755441;25867467;25807197
Korea, Rep.;KOR;Population, total;SP.POP.TOTL;51014947;51217803;51361911;51585058;51764822;51836239;44971640
Kosovo;XKX;Population, total;SP.POP.TOTL;1788196;1777557;1791003;1797085;1788878;1790133;1794532
Kuwait;KWT;Population, total;SP.POP.TOTL;3908743;4048085;4124904;4317185;4441100;4360444;5155414
Kyrgyz Republic;KGZ;Population, total;SP.POP.TOTL;5956900;6079500;6198200;6322800;6456200;6579900;9649859
Lao PDR;LAO;Population, total;SP.POP.TOTL;6787419;6891363;6997917;7105006;7212053;7319399;9775552
Latvia;LVA;Population, total;SP.POP.TOTL;1977527;1959537;1942248;1927174;1913822;1900449;1445950
Lebanon;LBN;Population, total;SP.POP.TOTL;6398940;6258619;6109252;5950839;5781907;5662923;4937579
Lesotho;LSO;Population, total;SP.POP.TOTL;2118521;2143872;2170617;2198017;2225702;2254100;2898369
Liberia;LBR;Population, total;SP.POP.TOTL;4612329;4706097;4796631;4889391;4985289;5087584;8890700
Libya;LBY;Population, total;SP.POP.TOTL;6192235;6282196;6378261;6477793;6569088;6653942;8539976
Liechtenstein;LIE;Population, total;SP.POP.TOTL;37355;37609;37889;38181;38482;38756;42287
Lithuania;LTU;Population, total;SP.POP.TOTL;2904910;2868231;2828403;2801543;2794137;2794885;2201350
Luxembourg;LUX;Population, total;SP.POP.TOTL;569604;582014;596336;607950;620001;630419;774337
Macao SAR, China;MAC;Population, total;SP.POP.TOTL;615239;626688;638609;650991;663653;676283;881666
Madagascar;MDG;Population, total;SP.POP.TOTL;24850912;25501941;26169542;26846541;27533134;28225177;51592965
Malawi;MWI;Population, total;SP.POP.TOTL;16938942;17405624;17881167;18367883;18867337;19377061;37159300
Malaysia;MYS;Population, total;SP.POP.TOTL;31068833;31526418;31975806;32399271;32804020;33199993;41032433
Maldives;MDV;Population, total;SP.POP.TOTL;435582;454252;472442;489758;504508;514438;569909
Mali;MLI;Population, total;SP.POP.TOTL;18112907;18700106;19311355;19934298;20567424;21224040;47439802
Malta;MLT;Population, total;SP.POP.TOTL;445053;455356;467999;484630;504062;515332;506440
Marshall Islands;MHL;Population, total;SP.POP.TOTL;49410;48329;47187;45989;44728;43413;51211
Mauritania;MRT;Population, total;SP.POP.TOTL;3946220;4051890;4160015;4270712;4383849;4498604;8914673
Mauritius;MUS;Population, total;SP.POP.TOTL;1262605;1263473;1264613;1265303;1265711;1265740;1190525
Mexico;MEX;Population, total;SP.POP.TOTL;120149897;121519221;122839258;124013861;125085311;125998302;143772364
Micronesia, Fed. Sts.;FSM;Population, total;SP.POP.TOTL;109462;109925;110430;110929;111379;112106;135457
Moldova;MDA;Population, total;SP.POP.TOTL;2835978;2803186;2755189;2707203;2664224;2635130;2590907
Monaco;MCO;Population, total;SP.POP.TOTL;36760;37071;37044;37029;37034;36922;37664
Mongolia;MNG;Population, total;SP.POP.TOTL;2964749;3029555;3096030;3163991;3232430;3294335;4518856
Montenegro;MNE;Population, total;SP.POP.TOTL;622159;622303;622373;622227;622028;621306;576018
Morocco;MAR;Population, total;SP.POP.TOTL;34680458;35107264;35528115;35927511;36304408;36688772;45044990
Mozambique;MOZ;Population, total;SP.POP.TOTL;26843246;27696493;28569441;29423878;30285595;31178239;63044497
Myanmar;MMR;Population, total;SP.POP.TOTL;51483949;51892349;52288341;52666014;53040212;53423198;59929399
Namibia;NAM;Population, total;SP.POP.TOTL;2282704;2323352;2364534;2405680;2446644;2489098;3779918
Nauru;NRU;Population, total;SP.POP.TOTL;11185;11437;11682;11924;12132;12315;14695
Nepal;NPL;Population, total;SP.POP.TOTL;27610325;27861186;28183426;28506712;28832496;29348627;37401365
Netherlands;NLD;Population, total;SP.POP.TOTL;16939923;17030314;17131296;17231624;17344874;17441500;17774096
New Caledonia;NCL;Population, total;SP.POP.TOTL;269460;270220;270810;271170;271230;271130;332002
New Zealand;NZL;Population, total;SP.POP.TOTL;4609400;4714100;4813600;4900600;4979200;5090200;5876433
Nicaragua;NIC;Population, total;SP.POP.TOTL;6298598;6389235;6480532;6572233;6663924;6755895;9094641
Niger;NER;Population, total;SP.POP.TOTL;20128124;20921743;21737922;22577058;23443393;24333639;67043296
Nigeria;NGA;Population, total;SP.POP.TOTL;183995785;188666931;193495907;198387623;203304492;208327405;377459883
North Macedonia;MKD;Population, total;SP.POP.TOTL;2070226;2072490;2074502;2076217;2076694;2072531;1868848
Northern Mariana Islands;MNP;Population, total;SP.POP.TOTL;51514;51133;50729;50304;49858;49587;50050
Norway;NOR;Population, total;SP.POP.TOTL;5188607;5234519;5276968;5311916;5347896;5379475;6343525
Oman;OMN;Population, total;SP.POP.TOTL;4191776;4398070;4541854;4601157;4602768;4543399;6328978
Pakistan;PAK;Population, total;SP.POP.TOTL;210969298;213524840;216379655;219731479;223293280;227196741;367808468
Palau;PLW;Population, total;SP.POP.TOTL;17794;17816;17837;17864;17916;17972;16689
Panama;PAN;Population, total;SP.POP.TOTL;3957099;4026336;4096063;4165255;4232532;4294396;5736121
Papua New Guinea;PNG;Population, total;SP.POP.TOTL;8682174;8899169;9114796;9329227;9542486;9749640;14910369
Paraguay;PRY;Population, total;SP.POP.TOTL;6177950;6266615;6355404;6443328;6530026;6618695;8591486
