Country;Unit;Variable;2015;2016;2017;2018;2019;2020
Afghanistan;Value;15.1.1 Forest area;1208.44;1208.44;1208.44;1208.44;1208.44;1208.44
Albania;Value;15.1.1 Forest area;789.188;789.18;788.903;788.9;788.9;788.9
Algeria;Value;15.1.1 Forest area;1956;1956;1943;1930;1939;1949
American Samoa;Value;15.1.1 Forest area;17.28;17.25;17.22;17.19;17.16;17.13
Andorra;Value;15.1.1 Forest area;16;16;16;16;16;16
Angola;Value;15.1.1 Forest area;69382.7;68827.6;68272.6;67717.5;67162.4;66607.4
Anguilla;Value;15.1.1 Forest area;5.5;5.5;5.5;5.5;5.5;5.5
Antigua and Barbuda;Value;15.1.1 Forest area;8.45;8.38;8.32;8.25;8.18;8.12
Argentina;Value;15.1.1 Forest area;29097;29010;28899;28791;28681;28573
Armenia;Value;15.1.1 Forest area;329.52;329.31;329.1;328.89;328.68;328.47
Aruba;Value;15.1.1 Forest area;0.42;0.42;0.42;0.42;0.42;0.42
Australia;Value;15.1.1 Forest area;133095;134037;134017;134005;134005;134005
Austria;Value;15.1.1 Forest area;3881.19;3884.79;3888.38;3891.97;3895.56;3899.15
Azerbaijan;Value;15.1.1 Forest area;1077.89;1087.48;1097.18;1108.71;1120.24;1131.77
Bahamas;Value;15.1.1 Forest area;509.86;509.86;509.86;509.86;509.86;509.86
Bahrain;Value;15.1.1 Forest area;0.6;0.62;0.64;0.66;0.68;0.7
Bangladesh;Value;15.1.1 Forest area;1883.4;1883.4;1883.4;1883.4;1883.4;1883.4
Barbados;Value;15.1.1 Forest area;6.3;6.3;6.3;6.3;6.3;6.3
Belarus;Value;15.1.1 Forest area;8633.5;8709.6;8724.1;8738.6;8753.1;8767.6
Belgium;Value;15.1.1 Forest area;689.3;689.3;689.3;689.3;689.3;689.3
Belize;Value;15.1.1 Forest area;1332.83;1321.68;1310.52;1299.37;1288.21;1277.05
Benin;Value;15.1.1 Forest area;3385.15;3335.15;3285.15;3235.15;3185.15;3135.15
Bermuda;Value;15.1.1 Forest area;1;1;1;1;1;1
Bhutan;Value;15.1.1 Forest area;2715.18;2717.16;2719.14;2721.12;2723.1;2725.08
Bolivia;Value;15.1.1 Forest area;52027.2;51750.7;51492.2;51253.2;51033.8;50833.8
Bonaire  Saint Eustatius and Saba;Value;15.1.1 Forest area;1.91;1.91;1.91;1.91;1.91;1.91
Bosnia and Herzegovina;Value;15.1.1 Forest area;2160.5;2176.51;2187.91;2187.91;2187.91;2187.91
Botswana;Value;15.1.1 Forest area;15846.2;15727.9;15609.6;15491.3;15373;15254.7
Brazil;Value;15.1.1 Forest area;503885;502082;500092;499051;497799;496620
British Virgin Islands;Value;15.1.1 Forest area;3.62;3.62;3.62;3.62;3.62;3.62
Brunei Darussalam;Value;15.1.1 Forest area;380;380;380;380;380;380
Bulgaria;Value;15.1.1 Forest area;3833;3841;3854;3867;3880;3893
Burkina Faso;Value;15.1.1 Forest area;6466.4;6416.4;6366.4;6316.4;6266.4;6216.4
Burundi;Value;15.1.1 Forest area;279.64;279.64;279.64;279.64;279.64;279.64
Cabo Verde;Value;15.1.1 Forest area;44.22;44.52;44.82;45.12;45.42;45.72
Cambodia;Value;15.1.1 Forest area;8846.82;8691.13;8535.44;8379.75;8224.06;8068.37
Cameroon;Value;15.1.1 Forest area;20620.5;20564.5;20508.5;20452.5;20396.5;20340.5
Canada;Value;15.1.1 Forest area;347116;347076;347039;347002;346965;346928
Cayman Islands;Value;15.1.1 Forest area;12.72;12.72;12.72;12.81;12.72;12.72
Central African Republic;Value;15.1.1 Forest area;22453;22423;22393;22363;22333;22303
Chad;Value;15.1.1 Forest area;489;4769;4651;4535;4422;4313
Chagos Archipelago;Value;15.1.1 Forest area;;;;;;
Channel Islands;Value;15.1.1 Forest area;;;;;;
Chile;Value;15.1.1 Forest area;17596.1;17719;17841.9;17964.9;18087.8;18210.7
China;Value;15.1.1 Forest area;210294;212460;214339;216219;218099;219978
Christmas Island;Value;15.1.1 Forest area;;;;;;
Cocos Islands;Value;15.1.1 Forest area;;;;;;
Colombia;Value;15.1.1 Forest area;60134.7;59959.5;59739.8;59540.5;59341.2;59141.9
Comoros;Value;15.1.1 Forest area;35.11;34.67;34.23;33.8;33.36;32.92
Congo;Value;15.1.1 Forest area;22015;22003;21991;21976;21961;21946
Cook Islands;Value;15.1.1 Forest area;15.59;15.59;15.59;15.59;15.59;15.59
Costa Rica;Value;15.1.1 Forest area;2953.03;2969.4;2985.77;3002.13;3018.5;3034.87
Croatia;Value;15.1.1 Forest area;1922;1924.12;1931.61;1934.11;1936.61;1939.11
Cuba;Value;15.1.1 Forest area;3184;3241;3242;3242;3242;3242
Curaçao;Value;15.1.1 Forest area;0.07;0.07;0.07;0.07;0.07;0.07
Cyprus;Value;15.1.1 Forest area;172.71;172.61;172.59;172.57;172.55;172.53
Czechia;Value;15.1.1 Forest area;2668.39;2669.85;2671.66;2673.47;2675.28;2677.09
Cote d'Ivoire;Value;15.1.1 Forest area;3401.15;3288.26;3175.37;3062.48;2949.6;2836.71
Democratic People's Republic of Korea;Value;15.1.1 Forest area;6136.24;6115.01;6093.78;6072.55;6051.32;6030.09
Democratic Republic of the Congo;Value;15.1.1 Forest area;131662;130561;129459;128358;127257;126155
Denmark;Value;15.1.1 Forest area;624.68;624.66;625.6;626.56;627.5;628.44
Djibouti;Value;15.1.1 Forest area;5.6;5.6;5.61;5.64;5.7;5.8
Dominica;Value;15.1.1 Forest area;47.87;47.87;47.87;47.87;47.87;47.87
Dominican Republic;Value;15.1.1 Forest area;2103.65;2111.74;2119.83;2127.92;2136.01;2144.1
Ecuador;Value;15.1.1 Forest area;12819.2;12754.9;12690.6;12626.4;12562.1;12497.8
Egypt;Value;15.1.1 Forest area;48.42;44.98;44.98;44.98;44.98;44.98
El Salvador;Value;15.1.1 Forest area;606.38;601.88;597.38;592.88;588.38;583.88
Equatorial Guinea;Value;15.1.1 Forest area;2490.22;2481.86;2473.5;2465.14;2456.78;2448.42
Eritrea;Value;15.1.1 Forest area;1071.06;1067.9;1064.74;1061.58;1058.42;1055.26
Estonia;Value;15.1.1 Forest area;2421.01;2421.25;2438.4;2438.4;2438.4;2438.4
Eswatini;Value;15.1.1 Forest area;491.5;492.72;493.93;495.14;496.35;497.56
Ethiopia;Value;15.1.1 Forest area;17433.5;17360.5;17287.5;17214.5;17141.5;17068.5
Falkland Islands;Value;15.1.1 Forest area;0;0;0;0;0;0
Faroe Islands;Value;15.1.1 Forest area;0.08;0.08;0.08;0.08;0.08;0.08
Fiji;Value;15.1.1 Forest area;1106.62;1113.3;1119.98;1126.66;1133.34;1140.02
Finland;Value;15.1.1 Forest area;22409;22409;22409;22409;22409;22409
France;Value;15.1.1 Forest area;16836;16919.4;17002.8;17086.2;17169.6;17253
French Guiana;Value;15.1.1 Forest area;802;8016.57;8013.14;8009.71;8006.28;8002.85
