"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Afghanistan","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Afghanistan","  54.76","  54.76","  54.76","  54.76","  54.76","  54.76","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"3","Afghanistan","2.854460e+01","2.854460e+01","2.854460e+01","2.854460e+01","2.854460e+01","2.854460e+01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"4","Afghanistan"," 9.12"," 9.12"," 9.12"," 9.12"," 9.12"," 9.12","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"5","Afghanistan"," 0.8971515"," 0.8558990"," 0.8538290"," 0.8613544"," 0.8264785"," 0.8159545","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"6","Afghanistan","   20.24","   20.02","   18.54","   18.04","   17.77","    6.05","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0305","0.5% compare to 2007 in CO2-eq tonnes"
"7","Afghanistan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia","100","%"
"8","Afghanistan","77.18081","77.78895","78.39321","78.98415","79.52176","79.57794","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Afghanistan","67.20","64.00","61.78","70.25","62.49","62.49","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"10","Afghanistan"," 23.37621"," 24.22921"," 25.08389"," 25.94051"," 26.79896"," 27.58896","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
