"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Albania","1.002971e+02","1.002961e+02","1.002609e+02","1.002605e+02","1.002605e+02","1.002605e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Albania","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Albania","   5.53","   6.56","   6.56","   5.76","   6.80","   4.72","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Albania","3.064516e+00","1.774194e+00","1.774194e+00","1.612903e+00","3.548387e+00","1.290323e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Albania","12.31","12.31","12.31","12.31","12.31","12.31","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Albania"," 3.0323356"," 2.9187831"," 3.1681211"," 3.1670533"," 2.9963270"," 2.8301953","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Albania","    2.58","    3.74","    2.99","    3.88","    3.41","    3.10","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 0.0125","0.5% compare to 2007 in CO2-eq tonnes"
"8","Albania","66.33193","66.38640","66.44533","66.52535","66.52548","66.58195","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"9","Albania","67.13","65.34","64.98","63.89","62.67","62.12","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"10","Albania","18.98","18.15","19.01","19.76","16.28","16.28","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Albania"," 95.85377"," 95.97989"," 96.10143"," 96.21850"," 96.33125"," 96.43984","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"12","Albania","37.50000","37.50000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
