"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Algeria","1.179592e+02","1.179592e+02","1.171753e+02","1.163913e+02","1.169340e+02","1.175371e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Algeria","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Algeria"," 125.99"," 129.87"," 137.92"," 137.92"," 137.92"," 137.92","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Algeria","4.750000e+02","4.164474e+02","5.328947e+02","5.328947e+02","5.328947e+02","5.328947e+02","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Algeria"," 2.55"," 2.55"," 2.55"," 2.55"," 2.55"," 2.55","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Algeria"," 6.5130323"," 6.4522241"," 6.4067616"," 6.5566636"," 6.4938242"," 6.1847665","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Algeria","   53.43","   24.16","   28.52","   30.13","   46.37","   39.33","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.2150","0.5% compare to 2007 in CO2-eq tonnes"
"8","Algeria","96.80509","96.82971","96.85419","96.87773","96.90503","96.93311","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Algeria","73.42","72.51","73.20","69.76","71.97","71.59","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Algeria","22.49","23.06","23.33","22.73","22.68","22.68","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Algeria"," 83.79525"," 84.01963"," 84.23902"," 84.45380"," 84.66394"," 84.86967","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"12","Algeria","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
