"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Angola","8.770701e+01","8.700530e+01","8.630372e+01","8.560202e+01","8.490031e+01","8.419874e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Angola","67.65000","67.65000","67.65000","67.65000","67.65000","67.65000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Angola","   1.87","   1.87","   1.87","   1.87","   1.87","   1.87","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Angola",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Angola"," 1.87"," 1.87"," 1.87"," 1.87"," 1.87"," 1.87","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Angola"," 3.0867383"," 2.8798626"," 2.6055572"," 2.3839805"," 2.3076518"," 2.0227714","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Angola","   13.78","   11.55","   10.45","   10.45","    9.35","    9.16","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0000","0.5% compare to 2007 in CO2-eq tonnes"
"8","Angola","76.18385","76.16885","76.16702","76.15840","76.12625","76.07462","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Angola","72.26","69.47","69.53","69.33","70.19","71.30","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Angola","25.03","26.08","25.44","25.85","27.16","27.16","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
