"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Australia","9.956582e+01","1.002705e+02","1.002556e+02","1.002466e+02","1.002466e+02","1.002466e+02","Source","renewable ressources","state of forest reccources","Oceania","100","%"
"2","Australia","80.46667","80.46667","76.68333","76.68333","76.68333","76.68333","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania","100","% Sus fish stock"
"3","Australia","   3.71","   4.27","   4.85","   4.96","   4.23","   3.47","Source","renewable ressources","Surfacewater Stress","Oceania","25","% of stress"
"4","Australia","2.805556e+00","8.055556e-01","7.916667e-01","7.916667e-01","8.333333e-01","7.916667e-01","Source","renewable ressources","Groundwater stress","Oceania","25","%"
"5","Australia"," 0.75"," 0.75"," 0.75"," 0.75"," 0.75"," 0.75","Source","non-renewables ressources","area with tolerable erosion","Oceania","2","Tonnes/hectare/year"
"6","Australia","24.5591091","24.1630388","24.0942487","23.3869527","23.0831627","21.3548888","Sink","global System","CO2 emissions [tonnes per capita]","Oceania","2.88","tonnes per year per capita"
"7","Australia","    8.19","    0.58","    0.12","    1.01","    0.74","    0.64","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"," 0.5705","0.5% compare to 2007 in CO2-eq tonnes"
"8","Australia",NA,NA,NA,NA,NA," 92.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania","100","%"
"9","Australia",NA,NA,NA,NA,NA," 87.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania","100","%"
"10","Australia","69.62032","69.62674","69.63554","69.64576","69.65734","69.64582","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania","100","%"
"11","Australia","74.63","72.97","72.67","72.21","72.06","72.14","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania","100","%"
"12","Australia"," 6.60"," 6.67"," 6.89"," 7.11"," 8.93"," 8.93","Human health and welfare","human health","Concentrations of PM2.5","Oceania","5","µg/m3"
"13","Australia","57.81250","57.81250","59.37500","59.37500","59.37500","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania","100","% Good status"
