"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Bahrain","2.553191e+02","2.638298e+02","2.723404e+02","2.808511e+02","2.893617e+02","2.978723e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Bahrain","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Bahrain"," 137.16"," 133.71"," 133.71"," 133.71"," 133.71"," 133.71","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Bahrain","1.454545e+02","1.454545e+02","1.454545e+02","1.454545e+02","1.454545e+02","1.454545e+02","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Bahrain"," 1.11"," 1.11"," 1.11"," 1.11"," 1.11"," 1.11","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Bahrain","44.8399011","43.4787973","41.9942891","41.3518550","43.7939568","50.8956920","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Bahrain","   45.98","   45.77","   44.21","   40.65","   37.04","   32.76","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.1435","0.5% compare to 2007 in CO2-eq tonnes"
"8","Bahrain",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Bahrain","85.82","85.82","78.98","78.96","77.45","77.48","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Bahrain","56.38","52.90","54.72","54.49","51.82","51.82","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Bahrain"," 99.04944"," 99.05788"," 99.06632"," 99.07476"," 99.08319"," 99.09163","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
