"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Barbados","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Barbados","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Barbados","  87.50","  87.50","  87.50","  87.50","  87.50","  87.50","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Barbados",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Barbados"," 7.53"," 7.53"," 7.53"," 7.53"," 7.53"," 7.53","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Barbados"," 8.9252620"," 8.9624023"," 7.1783817"," 7.9687079"," 7.8678164"," 6.6785905","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Barbados","    1.48","    2.25","    1.85","    1.37","    1.70","    0.87","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0145","0.5% compare to 2007 in CO2-eq tonnes"
"8","Barbados","93.51127","93.31704","93.12075","92.91807","92.71071","92.61045","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Barbados","89.74","89.59","89.45","89.30","89.15","89.01","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Barbados","10.53","10.34","10.91","10.36"," 9.79"," 9.79","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
