"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Belize","8.403948e+01","8.333643e+01","8.263276e+01","8.192971e+01","8.122604e+01","8.052236e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Belize","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Belize","   1.26","   1.26","   1.26","   1.26","   1.26","   1.26","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Belize",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Belize"," 1.27"," 1.27"," 1.27"," 1.27"," 1.27"," 1.27","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Belize"," 4.3470213"," 4.3235739"," 3.9288268"," 3.6344348"," 3.4846472"," 3.2003687","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Belize","    2.26","    2.15","    2.03","    1.86","    1.68","    1.39","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0050","0.5% compare to 2007 in CO2-eq tonnes"
"8","Belize",NA,NA,NA,NA,NA," 60.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"9","Belize",NA,NA,NA,NA,NA,"100.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","America","100","%"
"10","Belize","91.01332","90.89951","90.79919","90.69670","90.58564","90.45951","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"11","Belize","74.14","73.93","73.85","73.90","73.79","73.63","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"12","Belize","11.10","11.10","11.36","10.90","10.51","10.51","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"13","Belize","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
