"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Brazil","8.611696e+01","8.580881e+01","8.546871e+01","8.529080e+01","8.507682e+01","8.487532e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Brazil","41.18000","41.18000","46.67000","46.67000","46.67000","46.67000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Brazil","   3.02","   3.14","   3.11","   1.46","   1.48","   1.48","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Brazil","6.923792e-01","1.931537e+00","1.623296e+00","2.688971e+00","1.544300e+00","1.535006e+00","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Brazil"," 4.32"," 4.32"," 4.32"," 4.32"," 4.32"," 4.32","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Brazil"," 6.4900588"," 6.3281251"," 6.3454985"," 6.1916936"," 6.1887665"," 6.0818143","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Brazil"," 1025.81","  875.29","  837.25","  824.96","  838.85","  452.81","Sink","global System","Consumption of HCFC in ODP per capita","America"," 5.7570","0.5% compare to 2007 in CO2-eq tonnes"
"8","Brazil"," 52.55"," 52.55"," 52.55"," 52.55"," 52.55"," 61.45","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"9","Brazil"," 64.9"," 64.9"," 64.9"," 64.9"," 64.9"," 67.9","Sink","critical ecosystems","Proportion of ground water in good chemical status","America","100","%"
"10","Brazil","76.11645","75.98087","75.85257","75.72814","75.59290","75.45297","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"11","Brazil","77.21","74.91","74.10","73.57","73.45","73.33","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"12","Brazil","12.05","12.00","14.86","11.15","10.94","10.94","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"13","Brazil"," 81.97630"," 82.69040"," 83.52582"," 84.29474"," 85.06008"," 85.76567","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
"14","Brazil","32.14286","32.14286","35.71429","35.71429","35.71429","34.37500","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
