"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Brunei Darussalam","9.236753e+01","9.236753e+01","9.236753e+01","9.236753e+01","9.236753e+01","9.236753e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Brunei Darussalam","82.61000","82.61000","77.55000","77.55000","77.55000","77.55000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Brunei Darussalam","   3.47","   3.47","   3.47","   3.47","   3.47","   3.47","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Brunei Darussalam","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Brunei Darussalam"," 0.52"," 0.52"," 0.52"," 0.52"," 0.52"," 0.52","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Brunei Darussalam","29.4566855","29.9233611","31.0791688","32.0928361","30.0378597","23.4264776","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Brunei Darussalam","    3.57","    3.75","    3.45","    3.37","    3.33","    3.67","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0025","0.5% compare to 2007 in CO2-eq tonnes"
"8","Brunei Darussalam","93.85054","93.83978","93.80580","93.74595","93.65821","93.54002","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Brunei Darussalam","82.34","79.20","76.28","75.51","78.91","79.41","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Brunei Darussalam"," 7.81"," 7.91"," 7.03"," 6.70"," 6.86"," 6.86","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
