"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Bulgaria","1.150429e+02","1.152830e+02","1.156732e+02","1.160634e+02","1.164536e+02","1.168437e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Bulgaria","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Bulgaria","  41.61","  42.05","  41.82","  40.10","  40.08","  37.52","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Bulgaria","8.750000e+00","8.750000e+00","9.062500e+00","8.906250e+00","8.750000e+00","8.750000e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Bulgaria"," 1.73"," 1.73"," 1.73"," 1.73"," 1.73"," 1.73","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Bulgaria"," 8.7433871"," 8.4662034"," 8.9162466"," 8.5900968"," 8.3346142"," 7.6206217","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Bulgaria","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Bulgaria"," 99.55"," 99.55"," 99.55"," 99.55"," 99.55"," 99.50","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Bulgaria"," 28.1"," 28.1"," 28.1"," 28.1"," 28.1"," 25.6","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Bulgaria","71.80859","71.81169","71.82579","71.82999","71.86005","71.84477","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Bulgaria","69.82","67.76","69.71","69.96","67.40","66.46","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Bulgaria","20.41","19.63","20.30","20.40","17.29","17.29","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Bulgaria"," 97.42685"," 97.94337"," 98.46019"," 98.97729"," 98.94107"," 98.90556","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","Bulgaria","41.66667","41.66667","33.33333","33.33333","33.33333","33.33333","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
