"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Burkina Faso","8.434519e+01","8.369301e+01","8.304083e+01","8.238865e+01","8.173647e+01","8.108429e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Burkina Faso","   7.82","   7.82","   7.82","   7.82","   7.82","   7.82","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Burkina Faso","1.052632e-01","1.052632e-01","1.052632e-01","1.052632e-01","1.052632e-01","1.052632e-01","Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Burkina Faso"," 3.39"," 3.39"," 3.39"," 3.39"," 3.39"," 3.39","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Burkina Faso"," 1.5359737"," 1.5319790"," 1.5565524"," 1.5694466"," 1.5718714"," 1.5598560","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Burkina Faso","   11.99","   14.41","   12.98","   10.40","    8.14","    6.35","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0940","0.5% compare to 2007 in CO2-eq tonnes"
"7","Burkina Faso",NA,NA,NA,NA,NA,"100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Burkina Faso",NA,NA,NA,NA,NA," 95.3","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"9","Burkina Faso","85.56868","85.38637","85.12242","84.94570","84.75924","84.45460","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Burkina Faso","43.63","43.05","42.74","41.77","40.74","40.74","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Burkina Faso","25.00000","25.00000","50.00000","50.00000","50.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
