"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Cambodia","8.055444e+01","7.913681e+01","7.771918e+01","7.630155e+01","7.488392e+01","7.346629e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Cambodia","82.61000","82.61000","77.55000","77.55000","77.55000","77.55000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Cambodia","   1.04","   1.04","   1.04","   1.04","   1.04","   1.04","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Cambodia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Cambodia"," 4.59"," 4.59"," 4.59"," 4.59"," 4.59"," 4.59","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Cambodia"," 2.4138511"," 2.5610179"," 2.6436086"," 2.7287799"," 2.8497662"," 2.8258786","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Cambodia","   11.69","    4.52","    4.64","    4.98","    8.08","    6.65","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0400","0.5% compare to 2007 in CO2-eq tonnes"
"8","Cambodia","72.06122","71.89445","71.73392","71.56858","71.42388","71.27383","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Cambodia","86.41","86.45","84.62","85.92","85.95","86.14","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Cambodia","17.43","19.16","16.84","17.16","17.80","17.80","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Cambodia"," 24.82288"," 25.41006"," 26.00063"," 26.59694"," 27.19867"," 27.75824","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
