"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Cameroon","9.201576e+01","9.176586e+01","9.151597e+01","9.126608e+01","9.101619e+01","9.076630e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Cameroon","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Cameroon","   1.56","   1.56","   1.56","   1.56","   1.56","   1.56","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Cameroon",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Cameroon"," 5.65"," 5.65"," 5.65"," 5.65"," 5.65"," 5.65","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Cameroon"," 1.7447390"," 1.7290069"," 1.6235970"," 1.6114653"," 1.6080014"," 1.5142963","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Cameroon","   53.79","   47.41","   38.08","   38.06","   35.40","   32.53","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0580","0.5% compare to 2007 in CO2-eq tonnes"
"8","Cameroon","85.34609","85.26464","85.18147","85.10133","85.03240","84.96245","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Cameroon","74.14","68.61","68.50","69.19","66.77","64.78","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Cameroon","59.09","59.20","59.30","57.80","56.37","56.37","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Cameroon","12.50000","12.50000","12.50000","12.50000","12.50000","12.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
