"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Canada","9.968129e+01","9.966980e+01","9.965918e+01","9.964855e+01","9.963793e+01","9.962730e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Canada","79.81000","79.81000","70.06000","70.06000","70.06000","70.06000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Canada","   3.68","   3.71","   3.73","   3.73","   3.73","   3.73","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Canada","4.270270e-01","4.324324e-01","4.351351e-01","4.351351e-01","4.351351e-01","4.351351e-01","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Canada"," 1.26"," 1.26"," 1.26"," 1.26"," 1.26"," 1.26","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Canada","21.3219715","21.0687883","21.0977246","21.2540083","20.9054521","19.1201164","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Canada","   15.63","    8.58","    9.85","   -2.65","   15.68","   -2.26","Sink","global System","Consumption of HCFC in ODP per capita","America"," 2.6810","0.5% compare to 2007 in CO2-eq tonnes"
"8","Canada",NA,NA,NA,NA,NA," 82.20","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"9","Canada","90.78491","90.74978","90.72306","90.69365","90.66393","90.62768","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"10","Canada","76.22","76.01","76.05","75.10","74.51","74.20","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"11","Canada"," 7.15"," 6.31"," 6.90"," 7.09"," 6.39"," 6.39","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"12","Canada"," 99.00852"," 99.02262"," 99.03668"," 99.05070"," 99.06464"," 99.08072","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
"13","Canada","58.33333","58.33333","57.50000","57.50000","57.50000","59.09091","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
