"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Central African Republic","9.689294e+01","9.676347e+01","9.663401e+01","9.650455e+01","9.637509e+01","9.624563e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Central African Republic","   0.34","   0.34","   0.34","   0.34","   0.34","   0.34","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Central African Republic",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Central African Republic"," 0.77"," 0.77"," 0.77"," 0.77"," 0.77"," 0.77","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Central African Republic"," 2.1054763"," 2.1492134"," 2.1470289"," 2.1551473"," 2.1548564"," 2.1394536","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Central African Republic","   10.45","    9.90","    9.57","    9.35","    8.25","    7.15","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0015","0.5% compare to 2007 in CO2-eq tonnes"
"7","Central African Republic","95.00591","94.99521","94.97432","94.94393","94.90008","94.84299","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"8","Central African Republic","29.06","29.15","27.94","28.25","27.20","27.20","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"9","Central African Republic"," 29.61741"," 29.54186"," 29.47042"," 29.40331"," 29.34055"," 29.28220","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"10","Central African Republic","12.50000","12.50000","12.50000","12.50000","12.50000","12.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
