"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Chad","7.306905e+00","7.126100e+01","6.949778e+01","6.776445e+01","6.607594e+01","6.444720e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Chad","   4.29","   4.29","   4.29","   4.29","   4.29","   4.29","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Chad",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Chad"," 1.25"," 1.25"," 1.25"," 1.25"," 1.25"," 1.25","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Chad"," 4.4063906"," 4.5018547"," 4.6234184"," 4.7240399"," 4.8222702"," 4.8843818","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Chad","   14.20","   14.06","   11.91","   10.38","   10.20","   10.13","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0005","0.5% compare to 2007 in CO2-eq tonnes"
"7","Chad","79.13423","79.13150","79.13409","79.12614","79.12844","79.14070","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"8","Chad","44.50","44.49","44.36","42.61","41.15","41.15","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"9","Chad"," 12.18394"," 12.30507"," 12.42737"," 12.55092"," 12.67565"," 12.80170","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"10","Chad","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
