"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","China","1.321552e+02","1.335163e+02","1.346972e+02","1.358786e+02","1.370601e+02","1.382409e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","China","82.69000","82.69000","65.38000","65.38000","65.38000","65.38000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","China","  43.22","  44.11","  43.54","  43.30","  43.98","  41.52","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","China","1.289817e+01","1.316482e+01","1.226713e+01","1.178089e+01","1.127172e+01","1.076858e+01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","China"," 6.40"," 6.40"," 6.40"," 6.40"," 6.40"," 6.40","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","China"," 9.6999836"," 9.6308330"," 9.7644544","10.0716059","10.2468972","10.4412563","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","China","13485.21","14220.59","14604.66","14382.12","14222.91","10682.65","Sink","global System","Consumption of HCFC in ODP per capita","Asia","89.2950","0.5% compare to 2007 in CO2-eq tonnes"
"8","China","63.52863","63.56505","63.60617","63.64653","63.68867","63.71706","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","China","76.57","76.47","76.27","76.15","76.08","75.75","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","China","51.76","47.61","46.90","40.54","38.15","38.15","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","China","55.35714","55.35714","54.68750","54.68750","54.68750","54.16667","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
