"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Colombia","9.289239e+01","9.262175e+01","9.228237e+01","9.197450e+01","9.166664e+01","9.135877e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Colombia","77.57333","77.57333","77.31333","77.31333","77.31333","77.31333","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Colombia","   3.89","   4.19","   4.13","   4.06","   4.23","   4.36","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Colombia","4.647059e-01","5.000000e-01","3.588235e-01","2.176471e-01","2.254902e-01","2.274510e-01","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Colombia"," 2.81"," 2.81"," 2.81"," 2.81"," 2.81"," 2.81","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Colombia"," 3.9763056"," 4.0042433"," 3.8662409"," 3.9584446"," 4.0441119"," 3.7693981","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Colombia","  164.60","  136.54","  148.52","   78.15","   80.28","   63.21","Sink","global System","Consumption of HCFC in ODP per capita","America"," 1.0310","0.5% compare to 2007 in CO2-eq tonnes"
"8","Colombia","72.07631","72.06239","72.03643","71.98102","71.94431","71.87324","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Colombia","79.81","76.26","79.06","79.29","72.96","72.71","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Colombia","17.33","16.90","15.90","14.72","14.04","14.04","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"11","Colombia"," 80.62431"," 80.95159"," 81.24594"," 81.56367"," 81.79463"," 82.02090","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
"12","Colombia","37.50000","37.50000","37.50000","37.50000","37.50000","41.66667","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
