"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Comoros","7.695848e+01","7.599404e+01","7.502959e+01","7.408706e+01","7.312262e+01","7.215817e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Comoros","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Comoros","   0.83","   0.83","   0.83","   0.83","   0.83","   0.83","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Comoros",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Comoros","35.60","35.60","35.60","35.60","35.60","35.60","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Comoros"," 0.9120272"," 0.9386033"," 1.0161925"," 1.0358136"," 1.0616477"," 1.0063051","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Comoros","    0.10","    0.09","    0.07","    0.06","    0.05","    0.05","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0005","0.5% compare to 2007 in CO2-eq tonnes"
"8","Comoros","64.20298","64.05253","63.90956","63.77342","63.64357","63.51946","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Comoros","84.92","84.79","84.70","84.60","84.51","84.41","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Comoros","14.54","14.15","14.29","14.42","14.37","14.37","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
