"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Congo","9.870869e+01","9.865489e+01","9.860109e+01","9.853383e+01","9.846657e+01","9.839932e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Congo","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Congo","   0.03","   0.03","   0.03","   0.03","   0.03","   0.03","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Congo","1.639344e-02","1.639344e-02","1.639344e-02","1.639344e-02","1.639344e-02","1.639344e-02","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Congo"," 2.11"," 2.11"," 2.11"," 2.11"," 2.11"," 2.11","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Congo"," 3.9833159"," 3.8490230"," 4.0686213"," 4.6496217"," 4.7636995"," 4.8858119","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Congo","    8.15","    7.93","    7.66","    7.23","    6.89","    6.39","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0410","0.5% compare to 2007 in CO2-eq tonnes"
"8","Congo","74.90073","74.91097","74.91004","74.90788","74.90074","74.89141","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Congo","62.75","56.54","56.07","56.30","57.25","58.96","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Congo","28.99","30.03","28.77","29.27","29.48","29.48","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Congo"," 44.92186"," 45.42350"," 45.91881"," 46.09195"," 46.26509"," 46.43785","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"12","Congo","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
