"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Costa Rica","1.017450e+02","1.023091e+02","1.028731e+02","1.034368e+02","1.040008e+02","1.045648e+02","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Costa Rica","73.50500","73.50500","74.03500","74.03500","74.03500","74.03500","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Costa Rica","   5.45","   4.99","   4.16","   5.21","   5.36","   5.35","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Costa Rica","1.098901e+00","9.648888e-01","4.824444e-01","9.648888e-01","1.072099e+00","1.098901e+00","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Costa Rica"," 3.86"," 3.86"," 3.86"," 3.86"," 3.86"," 3.86","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Costa Rica"," 2.9830278"," 3.1108001"," 3.1416324"," 3.1965228"," 3.1785302"," 2.9590515","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Costa Rica","   10.96","   10.89","   10.10","    8.82","    6.29","    4.04","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0790","0.5% compare to 2007 in CO2-eq tonnes"
"8","Costa Rica",NA,NA,NA,NA,NA," 68.50","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"9","Costa Rica","65.21930","65.18734","65.16632","65.12793","65.07837","64.96099","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"10","Costa Rica","81.13","80.93","80.80","77.72","75.50","79.71","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"11","Costa Rica","18.32","17.86","17.05","15.59","14.70","14.70","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"12","Costa Rica"," 93.28432"," 93.56566"," 93.80280"," 93.89631"," 93.98454"," 94.06785","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
"13","Costa Rica","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
