"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Cote d'Ivoire","4.489837e+01","4.340812e+01","4.191786e+01","4.042761e+01","3.893749e+01","3.744723e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Cote d'Ivoire","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Cote d'Ivoire","   5.09","   5.09","   5.09","   5.09","   5.09","   5.09","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Cote d'Ivoire"," 3.31"," 3.31"," 3.31"," 3.31"," 3.31"," 3.31","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Cote d'Ivoire"," 1.2208146"," 1.2308205"," 1.2391715"," 1.2044856"," 1.2263693"," 1.2101826","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Cote d'Ivoire","   51.29","   49.08","   47.06","   45.05","   41.36","   38.50","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.2665","0.5% compare to 2007 in CO2-eq tonnes"
"8","Cote d'Ivoire",NA,NA,NA,NA,NA," 83.35","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Cote d'Ivoire","56.00125","55.91542","55.83100","55.74770","55.66848","55.63337","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Cote d'Ivoire","58.86","55.70","56.22","58.81","58.28","58.66","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"11","Cote d'Ivoire","43.76","42.70","42.12","41.81","40.41","40.41","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"12","Cote d'Ivoire"," 45.19661"," 45.29240"," 45.38994"," 45.48917"," 45.58971"," 45.69152","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"13","Cote d'Ivoire","16.66667","16.66667","25.00000","25.00000","25.00000","33.33333","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
