"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Croatia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Croatia","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Croatia","   1.52","   1.48","   1.50","   1.50","   1.49","   1.48","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Croatia","3.909091e+00","3.909091e+00","3.818182e+00","3.818182e+00","3.909091e+00","3.818182e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Croatia"," 1.90"," 1.90"," 1.90"," 1.90"," 1.90"," 1.90","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Croatia"," 6.3042091"," 6.4332808"," 6.6128899"," 6.3512192"," 6.3507988"," 6.1260873","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Croatia","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Croatia",NA,NA,NA,NA,NA," 63.20","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Croatia",NA,NA,NA,NA,NA," 91.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Croatia","81.15188","81.06281","80.96544","80.87144","80.72098","80.64408","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Croatia","55.91","54.34","54.60","55.80","57.00","56.18","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Croatia","18.65","17.73","18.22","18.98","15.29","15.29","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Croatia","50.00000","50.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
