"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Czechia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Czechia","  24.33","  24.86","  24.79","  24.18","  22.90","  20.77","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"3","Czechia","2.587413e+01","2.517483e+01","2.587413e+01","2.587413e+01","2.517483e+01","2.517483e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"4","Czechia"," 0.65"," 0.65"," 0.65"," 0.65"," 0.65"," 0.65","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"5","Czechia","12.3163384","12.4566824","12.4647929","12.2369482","11.6996047","10.7460422","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"6","Czechia","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"7","Czechia"," 50.00"," 50.00"," 50.00"," 50.00"," 50.00"," 98.75","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"8","Czechia"," 41.0"," 41.0"," 41.0"," 41.0"," 41.0"," 37.9","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"9","Czechia","61.53322","61.45889","61.45159","61.40729","61.38669","61.19769","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"10","Czechia","17.52","16.62","16.99","17.50","14.34","14.34","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Czechia"," 99.51787"," 99.51904"," 99.52036"," 99.52183"," 99.52344"," 99.52520","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
