"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Democratic Republic of the Congo","8.780042e+01","8.706621e+01","8.633132e+01","8.559711e+01","8.486289e+01","8.412801e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Democratic Republic of the Congo","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Democratic Republic of the Congo","   0.23","   0.23","   0.23","   0.23","   0.23","   0.23","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Democratic Republic of the Congo",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Democratic Republic of the Congo"," 1.97"," 1.97"," 1.97"," 1.97"," 1.97"," 1.97","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Democratic Republic of the Congo"," 0.6229086"," 0.6095316"," 0.6237228"," 0.6037676"," 0.6008335"," 0.5874096","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Democratic Republic of the Congo","   15.40","    9.35","    6.11","    6.11","    4.68","    2.09","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.1675","0.5% compare to 2007 in CO2-eq tonnes"
"8","Democratic Republic of the Congo",NA,NA,NA,NA,NA," 66.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Democratic Republic of the Congo","94.02063","93.99051","93.96335","93.93538","93.90568","93.87011","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Democratic Republic of the Congo","66.76","62.38","60.63","61.05","61.48","61.21","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"11","Democratic Republic of the Congo","32.21","32.99","31.32","31.46","31.58","31.58","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"12","Democratic Republic of the Congo"," 38.18018"," 38.71638"," 39.25391"," 39.79310"," 40.33360"," 40.87540","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"13","Democratic Republic of the Congo"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
