"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Denmark","1.166632e+02","1.166594e+02","1.168350e+02","1.170143e+02","1.171898e+02","1.173654e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Denmark","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Denmark","  21.95","  23.99","  24.22","  29.90","  25.57","  26.40","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Denmark","1.488372e+01","1.581395e+01","1.558140e+01","2.023256e+01","1.674419e+01","1.767442e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Denmark"," 0.19"," 0.19"," 0.19"," 0.19"," 0.19"," 0.19","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Denmark"," 8.8645825"," 9.0014570"," 8.5274926"," 8.4757820"," 7.7749681"," 6.8865549","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Denmark","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Denmark",NA,NA,NA,NA,NA," 46.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Denmark",NA,NA,NA,NA,NA," 75.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Denmark","44.86181","44.62235","44.45025","44.25071","44.14449","43.98504","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Denmark","72.04","70.68","70.30","69.75","69.35","70.96","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Denmark","10.73"," 9.78"," 9.97","10.02"," 9.66"," 9.66","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Denmark"," 98.88174"," 99.29700"," 99.71227","100.00000","100.00000","100.00000","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","Denmark","66.66667","66.66667","66.66667","66.66667","66.66667","66.66667","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
