"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Djibouti","1.000000e+02","1.000000e+02","1.001786e+02","1.007143e+02","1.017857e+02","1.035714e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Djibouti","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Djibouti","   6.33","   6.33","   6.33","   6.33","   6.33","   6.33","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Djibouti","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Djibouti","11.66","11.66","11.66","11.66","11.66","11.66","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Djibouti"," 2.0590973"," 1.9865400"," 1.9242115"," 1.9258271"," 1.8781596"," 1.8015707","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Djibouti","    0.56","    0.54","    0.51","    0.48","    0.45","    0.38","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0030","0.5% compare to 2007 in CO2-eq tonnes"
"8","Djibouti","73.56625","73.50843","73.45454","73.38088","73.24422","73.25379","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Djibouti","91.81","92.10","91.46","91.32","91.32","91.16","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Djibouti","20.39","20.47","20.90","20.39","19.98","19.98","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
