"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Dominican Republic","1.288490e+02","1.293445e+02","1.298400e+02","1.303355e+02","1.308310e+02","1.313265e+02","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Dominican Republic","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Dominican Republic","  39.55","  39.55","  39.55","  39.55","  39.55","  39.55","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Dominican Republic","9.375000e+00","9.375000e+00","9.375000e+00","9.375000e+00","9.375000e+00","9.375000e+00","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Dominican Republic"," 8.36"," 8.36"," 8.36"," 8.36"," 8.36"," 8.36","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Dominican Republic"," 3.7746195"," 3.8655378"," 3.7582905"," 3.9404116"," 4.1100427"," 3.8659671","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Dominican Republic","   43.39","   42.23","   44.41","   33.10","   38.06","   28.95","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.2500","0.5% compare to 2007 in CO2-eq tonnes"
"8","Dominican Republic",NA,NA,NA,NA,NA," 69.45","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"9","Dominican Republic","61.55363","60.98868","60.50354","59.99784","59.53259","58.81961","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"10","Dominican Republic","77.94","77.75","77.57","77.40","77.37","77.20","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"11","Dominican Republic"," 7.87"," 8.02"," 8.32"," 8.00"," 7.59"," 7.59","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
