"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Egypt","1.067696e+02","9.918412e+01","9.918412e+01","9.918412e+01","9.918412e+01","9.918412e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Egypt","52.25500","52.25500","52.89500","52.89500","52.89500","52.89500","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Egypt"," 110.93"," 110.47"," 141.17"," 141.17"," 141.17"," 141.17","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Egypt","4.600000e+02","4.600000e+02","4.333333e+02","4.333333e+02","4.333333e+02","4.333333e+02","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Egypt"," 0.27"," 0.27"," 0.27"," 0.27"," 0.27"," 0.27","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Egypt"," 3.4936599"," 3.5188940"," 3.6884033"," 3.7627820"," 3.6392109"," 3.3597530","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Egypt","  343.12","  346.53","  346.46","  287.45","  288.30","  249.95","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 2.1660","0.5% compare to 2007 in CO2-eq tonnes"
"8","Egypt",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Egypt","76.50","76.01","72.32","77.47","76.64","75.29","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Egypt","61.56","61.97","62.05","62.20","63.16","63.16","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Egypt","75.00000","75.00000","50.00000","50.00000","50.00000","75.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
