"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Equatorial Guinea","9.254595e+01","9.223526e+01","9.192457e+01","9.161388e+01","9.130320e+01","9.099251e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Equatorial Guinea","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Equatorial Guinea","   0.18","   0.18","   0.18","   0.18","   0.18","   0.18","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Equatorial Guinea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Equatorial Guinea"," 0.87"," 0.87"," 0.87"," 0.87"," 0.87"," 0.87","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Equatorial Guinea","13.4980342","12.4736834","10.9694701","10.6866820"," 9.2446015"," 9.4201196","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Equatorial Guinea","    1.98","    1.45","    0.01","    1.10","    0.87","    1.03","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0250","0.5% compare to 2007 in CO2-eq tonnes"
"8","Equatorial Guinea","91.39550","91.42566","91.45617","91.47450","91.50621","91.52753","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Equatorial Guinea","65.62","62.42","63.25","60.26","61.17","65.77","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Equatorial Guinea","27.29","26.95","26.62","26.38","25.67","25.67","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
