"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Eritrea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Eritrea","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Eritrea","  11.18","  11.18","  11.18","  11.18","  11.18","  11.18","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Eritrea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Eritrea","11.89","11.89","11.89","11.89","11.89","11.89","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Eritrea"," 1.8971161"," 1.9134795"," 1.9221770"," 1.9473634"," 1.9377667"," 1.8912101","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Eritrea","    0.97","    0.94","    0.90","    0.81","    0.76","    0.62","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0045","0.5% compare to 2007 in CO2-eq tonnes"
"8","Eritrea","75.25643","75.20442","75.14528","75.18818","75.08116","75.23907","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Eritrea","86.11","85.99","85.79","85.64","85.47","82.96","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Eritrea","22.33","22.30","23.56","22.98","22.74","22.74","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
