"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Estonia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Estonia","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Estonia","  17.48","  18.95","  19.32","  17.41","  10.89","   9.23","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Estonia","5.000000e+00","5.500000e+00","6.250000e+00","5.250000e+00","5.750000e+00","5.500000e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Estonia"," 0.09"," 0.09"," 0.09"," 0.09"," 0.09"," 0.09","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Estonia","18.9640412","18.7243363","19.6423292","20.0189067","14.9653168","14.0462968","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Estonia","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Estonia","100.00","100.00","100.00","100.00","100.00"," 65.20","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Estonia",NA,NA,NA,NA,NA,"100.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Estonia","87.31932","87.31530","87.31931","87.31455","87.34048","87.25539","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Estonia","77.69","75.47","73.61","73.42","74.75","75.79","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Estonia"," 6.75"," 6.20"," 5.90"," 6.70"," 6.35"," 6.35","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Estonia"," 96.08153"," 95.84115"," 95.82552"," 95.80989"," 95.79424"," 95.76107","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
