"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Ethiopia","8.574246e+01","8.538343e+01","8.502439e+01","8.466536e+01","8.430633e+01","8.394730e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Ethiopia","  31.51","  32.26","  32.26","  32.26","  32.26","  32.26","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Ethiopia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Ethiopia","12.60","12.60","12.60","12.60","12.60","12.60","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Ethiopia"," 1.4073100"," 1.4285469"," 1.4357889"," 1.4281777"," 1.4256231"," 1.3995630","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Ethiopia","    4.69","    4.59","    4.18","    3.96","    3.53","    3.41","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0000","0.5% compare to 2007 in CO2-eq tonnes"
"7","Ethiopia",NA,NA,NA,NA,NA," 98.20","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Ethiopia","81.17287","80.90671","80.70744","80.48531","80.32984","80.08996","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Ethiopia","22.12","22.17","22.23","22.23","21.80","21.80","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"10","Ethiopia"," 13.04922"," 13.50942"," 13.97011"," 14.43218"," 14.89558"," 15.35998","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"11","Ethiopia","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
