"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Fiji","1.169334e+02","1.176392e+02","1.183451e+02","1.190509e+02","1.197568e+02","1.204627e+02","Source","renewable ressources","state of forest reccources","Oceania","100","%"
"2","Fiji","82.61000","82.61000","77.55000","77.55000","77.55000","77.55000","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania","100","% Sus fish stock"
"3","Fiji","   0.30","   0.30","   0.30","   0.30","   0.30","   0.30","Source","renewable ressources","Surfacewater Stress","Oceania","25","% of stress"
"4","Fiji",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania","25","%"
"5","Fiji","12.73","12.73","12.73","12.73","12.73","12.73","Source","non-renewables ressources","area with tolerable erosion","Oceania","2","Tonnes/hectare/year"
"6","Fiji"," 2.7191562"," 2.6612904"," 2.8260459"," 2.9159230"," 3.0728329"," 3.1290951","Sink","global System","CO2 emissions [tonnes per capita]","Oceania","2.88","tonnes per year per capita"
"7","Fiji","    3.87","    4.10","    3.72","    4.14","    4.62","    2.12","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"," 0.0205","0.5% compare to 2007 in CO2-eq tonnes"
"8","Fiji","100.00","100.00","100.00","100.00","100.00","100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania","100","%"
"9","Fiji","100.0","100.0","100.0","100.0","100.0","100.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania","100","%"
"10","Fiji","83.92670","83.86714","83.80359","83.74127","83.68347","83.63466","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania","100","%"
"11","Fiji","85.48","85.34","85.22","85.10","84.98","84.86","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania","100","%"
"12","Fiji"," 7.32"," 7.39"," 7.45"," 7.52"," 7.36"," 7.36","Human health and welfare","human health","Concentrations of PM2.5","Oceania","5","µg/m3"
