"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","France","1.159408e+02","1.165152e+02","1.170895e+02","1.176638e+02","1.182382e+02","1.188125e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","France","55.65500","55.65500","58.40500","58.40500","58.40500","58.40500","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","France","  24.61","  23.14","  23.59","  23.57","  23.00","  23.00","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","France","4.800000e+00","4.591667e+00","4.733333e+00","4.808333e+00","4.775000e+00","4.775000e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","France"," 1.28"," 1.28"," 1.28"," 1.28"," 1.28"," 1.28","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","France"," 7.0033704"," 7.0154699"," 7.0335481"," 6.7991476"," 6.6560851"," 5.8955666","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","France","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","France"," 98.55"," 98.55"," 98.55"," 98.55"," 98.55"," 96.25","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","France"," 41.1"," 41.1"," 41.1"," 41.1"," 41.1"," 39.4","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","France","62.36271","62.34577","62.35508","62.31748","62.29506","62.21427","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","France","71.29","69.96","74.60","74.81","74.97","74.68","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","France","12.21","11.24","11.29","11.23","10.46","10.46","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","France"," 98.70728"," 98.88780"," 99.06831"," 99.24883"," 99.24883"," 99.24883","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","France","50.00000","50.00000","43.75000","43.75000","43.75000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
