"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Gabon","9.930349e+01","9.925340e+01","9.920331e+01","9.915363e+01","9.910354e+01","9.905345e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Gabon","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Gabon","   0.50","   0.50","   0.50","   0.50","   0.50","   0.50","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Gabon",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Gabon"," 1.25"," 1.25"," 1.25"," 1.25"," 1.25"," 1.25","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Gabon","10.2785991","10.1154166"," 8.9403877"," 8.1618100"," 8.7464602"," 8.5911351","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Gabon","   19.25","   20.90","   19.80","   20.08","   18.15","   15.40","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0205","0.5% compare to 2007 in CO2-eq tonnes"
"8","Gabon",NA,NA,NA,NA,NA," 95.65","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Gabon",NA,NA,NA,NA,NA,"100.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","Gabon","84.16410","84.17377","84.18168","84.18822","84.19399","84.20025","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","Gabon","72.15","79.11","80.87","80.11","79.98","72.34","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","Gabon","26.13","26.67","25.90","26.26","26.29","26.29","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","Gabon","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
