"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Gambia","6.635414e+01","6.495047e+01","6.354924e+01","6.214801e+01","6.074434e+01","5.934311e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Gambia","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Gambia","   2.21","   2.21","   2.21","   2.21","   2.21","   2.21","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Gambia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Gambia"," 2.99"," 2.99"," 2.99"," 2.99"," 2.99"," 2.99","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Gambia"," 0.9507162"," 0.8785937"," 0.8756852"," 0.8254347"," 0.8549462"," 0.8362660","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Gambia","    0.75","    0.50","    0.44","    0.22","    0.17","    0.21","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0005","0.5% compare to 2007 in CO2-eq tonnes"
"8","Gambia","68.10236","67.88360","67.65943","67.52192","67.20889","66.82982","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Gambia","74.47","79.77","72.88","71.58","71.14","71.93","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Gambia","39.87","38.93","40.50","39.86","39.10","39.10","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Gambia"," 52.75538"," 53.08471"," 53.40939"," 53.72914"," 54.04399"," 54.35395","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
