"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Germany","1.010048e+02","1.010048e+02","1.010048e+02","1.010048e+02","1.010048e+02","1.010048e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Germany","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Germany","  33.91","  33.50","  33.50","  33.50","  33.50","  33.50","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Germany","1.301969e+01","1.304158e+01","1.304158e+01","1.304158e+01","1.304158e+01","1.304158e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Germany"," 0.36"," 0.36"," 0.36"," 0.36"," 0.36"," 0.36","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Germany","11.1908474","11.1346452","10.9004808","10.5333424"," 9.8411745"," 8.9293579","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Germany","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Germany"," 53.75"," 53.75"," 53.75"," 53.75"," 53.75",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Germany","68.59053","68.46391","68.29669","68.13440","68.03224","67.79944","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"10","Germany","71.01","69.15","69.35","69.04","72.33","72.06","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"11","Germany","12.64","11.66","11.78","11.70","10.73","10.73","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"12","Germany"," 99.95918"," 99.97046"," 99.98174"," 99.99302"," 99.99303"," 99.99303","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"13","Germany","66.66667","66.66667","58.33333","58.33333","58.33333","58.33333","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
