"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Grenada","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Grenada","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Grenada","   7.05","   7.05","   7.05","   7.05","   7.05","   7.05","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Grenada",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Grenada"," 9.57"," 9.57"," 9.57"," 9.57"," 9.57"," 9.57","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Grenada"," 5.2244981"," 5.3147834"," 3.5860487"," 3.7167628"," 3.6534424"," 3.0887439","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Grenada","    0.22","    0.20","    0.22","    0.21","    0.18","    0.18","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 0.0010","0.5% compare to 2007 in CO2-eq tonnes"
"8","Grenada","94.02170","93.89181","93.75570","93.61610","93.47542","93.59097","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"9","Grenada","78.19","78.00","77.83","77.67","77.51","77.35","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"10","Grenada","10.76","10.59","11.14","10.57","10.08","10.08","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Grenada"," 87.11527"," 87.11527"," 87.11527",NA,NA,NA,"Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
