"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Guatemala","7.590601e+01","7.566046e+01","7.541490e+01","7.516935e+01","7.492379e+01","7.467824e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Guatemala","73.50500","73.50500","74.03500","74.03500","74.03500","74.03500","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Guatemala","   5.74","   5.74","   5.74","   5.74","   5.74","   5.74","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Guatemala",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Guatemala","11.42","11.42","11.42","11.42","11.42","11.42","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Guatemala"," 2.4200710"," 2.4732994"," 2.4154598"," 2.5203970"," 2.5728567"," 2.4124821","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Guatemala","    4.50","    5.60","    3.36","    4.04","    3.36","    4.00","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0310","0.5% compare to 2007 in CO2-eq tonnes"
"8","Guatemala","61.06147","60.80825","60.55694","60.29285","60.02629","59.70917","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Guatemala","72.53","72.21","72.07","71.91","71.75","71.59","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Guatemala","25.42","25.00","23.82","21.71","20.75","20.75","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"11","Guatemala"," 55.78786"," 56.06160"," 56.33679"," 56.61334"," 56.89070"," 57.16904","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
"12","Guatemala","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
