"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Guinea Bissau","9.089054e+01","9.051119e+01","9.013185e+01","8.975250e+01","8.937316e+01","8.899381e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Guinea Bissau","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Guinea Bissau","   1.50","   1.50","   1.50","   1.50","   1.50","   1.50","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Guinea Bissau","2.142857e-01","2.142857e-01","2.142857e-01","2.142857e-01","2.142857e-01","2.142857e-01","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Guinea Bissau"," 1.28"," 1.28"," 1.28"," 1.28"," 1.28"," 1.28","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Guinea Bissau"," 1.5816281"," 1.6057885"," 1.5346235"," 1.5356052"," 1.5369632"," 1.5255381","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Guinea Bissau","    2.48","    2.31","    1.98","    1.54","    1.27","    1.10","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0115","0.5% compare to 2007 in CO2-eq tonnes"
"8","Guinea Bissau","62.87691","62.69302","62.43030","62.21694","61.94528","61.63853","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Guinea Bissau","78.84","74.05","73.86","75.36","75.57","75.31","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Guinea Bissau","36.11","35.01","36.53","35.90","34.85","34.85","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"11","Guinea Bissau"," 41.88504"," 42.34890"," 42.81347"," 43.27901"," 43.74527"," 44.21224","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
