"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Haiti","9.481490e+01","9.400224e+01","9.318958e+01","9.237692e+01","9.156426e+01","9.075159e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Haiti","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Haiti","  13.38","  13.38","  13.38","  13.38","  13.38","  13.38","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Haiti",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Haiti","53.60","53.60","53.60","53.60","53.60","53.60","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Haiti"," 1.3417700"," 1.3517183"," 1.3380739"," 1.3240053"," 1.3190077"," 1.2624723","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Haiti","    3.25","    2.99","    2.24","    2.32","    2.65","    1.57","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0020","0.5% compare to 2007 in CO2-eq tonnes"
"8","Haiti","46.65228","46.70229","46.76587","46.80276","46.69996","46.76088","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Haiti","75.29","75.18","75.18","74.91","74.89","74.53","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Haiti","10.14","10.36","10.61","10.23"," 9.69"," 9.69","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
