"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Hungary","1.129447e+02","1.128302e+02","1.127502e+02","1.126762e+02","1.125967e+02","1.125167e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Hungary","   6.96","   6.84","   8.18","   8.49","   7.71","   8.07","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"3","Hungary","8.166667e+00","8.166667e+00","9.666667e+00","8.500000e+00","1.016667e+01","1.366667e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"4","Hungary"," 0.70"," 0.70"," 0.70"," 0.70"," 0.70"," 0.70","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"5","Hungary"," 6.4970624"," 6.5888424"," 6.8921728"," 6.9163731"," 7.1564298"," 6.9881407","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"6","Hungary","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"7","Hungary"," 47.70"," 47.70"," 47.70"," 47.70"," 47.70"," 47.35","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"8","Hungary"," 82.0"," 82.0"," 82.0"," 82.0"," 82.0"," 78.4","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"9","Hungary","60.73362","60.69933","60.51656","60.47812","60.38736","60.28429","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"10","Hungary","17.16","16.18","16.62","17.25","14.24","14.24","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Hungary"," 92.49036"," 92.50452"," 92.54462"," 92.55903"," 92.57365"," 92.58851","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"12","Hungary","75.00000","75.00000","75.00000","75.00000","75.00000","75.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
