"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","India","1.101468e+02","1.105610e+02","1.109753e+02","1.113896e+02","1.118039e+02","1.122182e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","India","69.87500","69.87500","68.46000","68.46000","68.46000","68.46000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","India","  66.49","  66.49","  66.49","  66.49","  66.49","  66.49","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","India","5.810185e+01","5.810185e+01","5.810185e+01","5.810185e+01","5.810185e+01","5.810185e+01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","India"," 9.47"," 9.47"," 9.47"," 9.47"," 9.47"," 9.47","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","India"," 2.5410277"," 2.5482244"," 2.6284657"," 2.7050584"," 2.6885363"," 2.5493872","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","India","  992.54"," 1014.48","  806.49","  895.19","  939.16","  297.49","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 6.3275","0.5% compare to 2007 in CO2-eq tonnes"
"8","India","60.87462","61.11168","61.30830","61.47478","61.61064","61.69976","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","India","78.65","77.11","75.22","74.72","73.75","74.18","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","India","55.48","53.00","51.30","55.48","50.17","50.17","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","India","35.71429","35.71429","46.87500","46.87500","46.87500","46.87500","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
