"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Iran","1.174813e+02","1.175923e+02","1.176857e+02","1.178659e+02","1.180472e+02","1.181395e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Iran","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Iran","  81.29","  81.29","  81.29","  81.29","  81.29","  81.29","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Iran",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Iran"," 2.14"," 2.14"," 2.14"," 2.14"," 2.14"," 2.14","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Iran","10.4126493","10.7631313","10.9904577","11.0023544","10.5130446","10.6355732","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Iran","  309.28","  272.98","  229.28","  162.96","   63.79","  163.67","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.9570","0.5% compare to 2007 in CO2-eq tonnes"
"8","Iran","89.64347","89.58513","89.54496","89.51411","89.45627","89.39515","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Iran","77.64","75.69","74.89","74.18","75.59","75.97","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Iran","29.87","29.50","30.35","32.18","31.62","31.62","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Iran"," 96.61797"," 96.75804"," 96.89453"," 97.02739"," 97.15669"," 97.28254","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"12","Iran",NA,NA,"75.00000","75.00000","75.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
