"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Iraq","1.024336e+02","1.024336e+02","1.024336e+02","1.024336e+02","1.024336e+02","1.024336e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Iraq","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Iraq","  49.02","  54.09","  60.48","  47.14","  79.51","  79.51","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Iraq","1.618902e+03","1.618902e+03","1.618902e+03","1.618902e+03","1.618902e+03","1.618902e+03","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Iraq"," 2.66"," 2.66"," 2.66"," 2.66"," 2.66"," 2.66","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Iraq"," 7.0076337"," 7.8558746"," 8.0596171"," 8.1917304"," 8.4388315"," 7.7756397","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Iraq","   93.39","   93.23","   91.52","   92.68","   93.39","   66.39","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.5470","0.5% compare to 2007 in CO2-eq tonnes"
"8","Iraq",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Iraq","90.31","90.08","89.91","89.83","89.76","87.42","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Iraq","39.05","38.51","38.86","39.98","39.29","39.29","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Iraq"," 57.43005"," 57.91293"," 58.39520"," 58.87657"," 59.35663"," 59.66446","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"12","Iraq",NA,NA,"25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
