"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Ireland","1.577118e+02","1.593168e+02","1.609197e+02","1.617556e+02","1.625915e+02","1.634275e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Ireland","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Ireland","   5.79","   6.15","   6.51","  20.04","  21.57","  21.64","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Ireland","2.592593e+00","2.685185e+00","2.870370e+00","2.962963e+00","3.148148e+00","3.240741e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Ireland"," 0.87"," 0.87"," 0.87"," 0.87"," 0.87"," 0.87","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Ireland","14.1065854","14.5530020","14.2686188","13.6627873","13.0902862","12.1439156","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Ireland","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Ireland"," 51.25"," 51.25"," 51.25"," 51.25"," 51.25"," 51.85","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Ireland"," 91.4"," 91.4"," 91.4"," 91.4"," 91.4"," 92.2","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Ireland","39.93843","40.00503","40.07219","40.05257","40.12141","40.06350","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Ireland","65.99","64.11","67.84","67.55","64.03","67.28","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Ireland"," 9.16"," 8.08"," 8.13"," 8.31"," 8.20"," 8.20","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Ireland"," 96.76897"," 96.98705"," 97.20489"," 97.40529"," 97.40257"," 97.39971","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
