"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Israel","1.230425e+02","1.043997e+02","1.043997e+02","1.043997e+02","1.043997e+02","1.043997e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Israel","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Israel","  98.87"," 103.44"," 103.61","  95.94"," 100.42"," 110.09","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Israel","6.178862e+01","7.073171e+01","6.991870e+01","6.260163e+01","6.341463e+01","5.772358e+01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Israel"," 3.05"," 3.05"," 3.05"," 3.05"," 3.05"," 3.05","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Israel","10.2110177","10.0770150"," 9.8925683"," 9.3265629"," 9.3328795"," 8.6879347","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Israel","   28.61","   30.90","   31.62","   28.23","   27.61","    1.53","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.6015","0.5% compare to 2007 in CO2-eq tonnes"
"8","Israel","92.83876","92.80248","92.78114","92.76587","92.75103","92.74490","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Israel","66.80","64.52","66.08","67.04","67.72","67.53","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Israel","21.65","19.90","19.54","20.22","19.47","19.47","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Israel"," 99.52730"," 99.48597"," 99.44469"," 99.40344"," 99.36223"," 99.32107","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
