"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Italy","1.212499e+02","1.219517e+02","1.226535e+02","1.233552e+02","1.240570e+02","1.247588e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Italy","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Italy","  29.92","  29.84","  29.76","  29.68","  29.82","  29.65","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Italy",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Italy"," 4.03"," 4.03"," 4.03"," 4.03"," 4.03"," 4.03","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Italy"," 7.1263785"," 7.0753414"," 7.0301021"," 6.9721572"," 6.9220780"," 6.2674677","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Italy","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Italy","65.84198","65.88774","65.97546","66.03677","66.05985","66.12874","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"9","Italy","66.24","63.66","65.62","65.31","65.00","64.70","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"10","Italy","17.28","15.82","15.73","15.97","14.22","14.22","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Italy"," 95.82369"," 95.82369"," 95.82369"," 95.82369"," 95.82369"," 95.82369","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"12","Italy","60.00000","60.00000","55.00000","55.00000","55.00000","55.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
