"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Jamaica","1.107833e+02","1.115276e+02","1.122739e+02","1.130202e+02","1.137646e+02","1.145108e+02","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Jamaica","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Jamaica","   7.67","  12.47","  12.47","  12.47","  12.47","  12.47","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Jamaica","3.839122e+00","2.559415e+00","2.559415e+00","2.559415e+00","2.559415e+00","2.559415e+00","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Jamaica"," 7.11"," 7.11"," 7.11"," 7.11"," 7.11"," 7.11","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Jamaica"," 3.0981329"," 3.2716636"," 3.1418929"," 3.6427353"," 3.5392817"," 3.0875472","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Jamaica","    7.62","    8.02","    8.24","    9.97","    2.86","    4.97","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0070","0.5% compare to 2007 in CO2-eq tonnes"
"8","Jamaica"," 92.10"," 92.10"," 92.10"," 92.10"," 92.10"," 94.30","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"9","Jamaica",NA,NA,NA,NA,NA," 33.4","Sink","critical ecosystems","Proportion of ground water in good chemical status","America","100","%"
"10","Jamaica","69.74970","69.66151","69.57586","69.50244","69.42985","69.30039","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"11","Jamaica","74.89","74.30","74.06","73.83","73.67","73.51","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"12","Jamaica","15.75","15.98","16.30","15.73","14.83","14.83","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"13","Jamaica",NA,NA,"50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
