"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Japan","1.000056e+02","9.998958e+01","9.996953e+01","9.996953e+01","9.996953e+01","9.996953e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Japan","82.69000","82.69000","65.38000","65.38000","65.38000","65.38000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Japan","  36.74","  36.64","  36.46","  36.37","  36.05","  36.05","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Japan","3.322222e+01","3.296296e+01","3.259259e+01","3.259259e+01","3.185185e+01","3.185185e+01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Japan"," 4.43"," 4.43"," 4.43"," 4.43"," 4.43"," 4.43","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Japan","10.5526288","10.4566886","10.3699604","10.0618258"," 9.7852914"," 9.1172186","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Japan","  119.96","   72.81","   66.70","   58.80","   74.94","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 3.6105","0.5% compare to 2007 in CO2-eq tonnes"
"8","Japan"," 52.50"," 52.50"," 52.50"," 52.50"," 52.50"," 52.50","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"9","Japan","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia","100","%"
"10","Japan","88.61830","88.60276","88.58255","88.55892","88.53223","88.52054","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"11","Japan","76.91","75.35","73.90","73.37","73.36","73.33","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"12","Japan","12.75","12.54","11.89","10.87","10.84","10.84","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"13","Japan"," 98.92281"," 98.96183"," 99.00086"," 99.03989"," 99.07891"," 99.07891","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"14","Japan","56.25000","56.25000","56.25000","56.25000","56.25000","56.25000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
