"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Jordan","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Jordan","  96.16"," 100.08"," 100.44"," 102.23"," 104.31"," 104.31","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"3","Jordan","1.092593e+02","1.129630e+02","1.148148e+02","1.148148e+02","1.111111e+02","1.111111e+02","Source","renewable ressources","Groundwater stress","Asia","25","%"
"4","Jordan"," 0.95"," 0.95"," 0.95"," 0.95"," 0.95"," 0.95","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"5","Jordan"," 3.5629056"," 3.4108580"," 3.4836963"," 3.3011400"," 3.2648292"," 3.0765628","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"6","Jordan","   73.99","   41.94","   23.59","   25.74","   23.38","   29.15","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.2785","0.5% compare to 2007 in CO2-eq tonnes"
"7","Jordan"," 78.35"," 78.35"," 78.35"," 78.35"," 78.35","100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"8","Jordan","100.0","100.0","100.0","100.0","100.0",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia","100","%"
"9","Jordan",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"10","Jordan","89.63","89.51","89.38","89.26","89.13","89.00","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"11","Jordan","25.34","24.87","25.29","25.85","25.87","25.87","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"12","Jordan"," 98.37274"," 98.35862"," 98.34435"," 98.32992"," 98.31536"," 98.30064","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"13","Jordan","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
